"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSPatientSummaryHeader","EHDSPatientSummaryHeader","","","",0,*,"","","","null {[]} {[]}
","Patient summary header model","A.1 - EHDS refined base model for Patient Summary header data elements","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSPatientSummaryHeader.subject","EHDSPatientSummaryHeader.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","A.1.1 - Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryHeader.subject",1,1,"",""
"EHDSPatientSummaryHeader.relatedPerson","EHDSPatientSummaryHeader.relatedPerson","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSRelatedPerson {[]} {[]}
","A.1.2 - Related person","Patient/subject guardian and related person information","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryHeader.relatedPerson",0,*,"",""
"EHDSPatientSummaryHeader.preferredHealthProfessional[x]","EHDSPatientSummaryHeader.preferredHealthProfessional[x]","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganization {[]} {[]}","A.1.3 - Preferred Health Professional","Preferred health professional (HP) - This section can be repeated and linked to any specific information in the document, for example a link between a rare disease problem and the rare disease specialist responsible for the care of the individual patient (this section).","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryHeader.preferredHealthProfessional[x]",0,*,"",""
"EHDSPatientSummaryHeader.authorship","EHDSPatientSummaryHeader.authorship","","","",1,*,"","","","Base {[]} {[]}
","A.1.6 - Authorship","Information about author or authors of the document","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryHeader.authorship",1,*,"",""
"EHDSPatientSummaryHeader.authorship.author","EHDSPatientSummaryHeader.authorship.author","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","A.1.6.1 - Author","Author by whom the document was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryHeader.authorship.author",1,1,"",""
"EHDSPatientSummaryHeader.authorship.datetime","EHDSPatientSummaryHeader.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","A.1.6.2 - DateTime","Date and time of the last modification of the document by its Author.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryHeader.authorship.datetime",1,1,"",""
"EHDSPatientSummaryHeader.documentMetadata","EHDSPatientSummaryHeader.documentMetadata","","","",1,1,"","","","Base {[]} {[]}
","A.1.9 - Document metadata","Data relevant to document type and its content for administrative and searching purposes.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryHeader.documentMetadata",1,1,"",""
"EHDSPatientSummaryHeader.documentMetadata.documentId","EHDSPatientSummaryHeader.documentMetadata.documentId","","","",1,1,"","","","Identifier {[]} {[]}
","A.1.9.1 - Document ID","Unique identifier of the document","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryHeader.documentMetadata.documentId",1,1,"",""
"EHDSPatientSummaryHeader.documentMetadata.documentType","EHDSPatientSummaryHeader.documentMetadata.documentType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","A.1.9.2 - Document type","Identifies the type of document at hand, e.g. Hospital discharge report.","","","","","","","","","",,"preferred","LOINC","","",,,,"EHDSPatientSummaryHeader.documentMetadata.documentType",1,1,"",""
