Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	25135	-	0	0	0	0	0	0	4	71	0	0	0	0	0	0	0	1	0	0	91	137	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-ANY.json	892	6	0	8	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	31	561	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Coded.json	1123	4	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	33	209	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4038	6	0	10	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	51	182	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAlertFlag.json	6056	6	0	12	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	69	145	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9615	6	0	11	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	97	187	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAppointment.json	11934	8	0	10	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	131	240	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	4372	5	0	7	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	43	93	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachments.json	1890	3	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	26	57	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	7753	6	0	8	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	65	112	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9329	6	0	11	1	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	74	143	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3668	4	0	7	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	35	74	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	4738	5	0	8	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	49	89	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5238	4	0	8	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	48	93	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	17724	8	0	12	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	150	232	0	0	0	5	0	2
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	13211	8	0	11	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	98	152	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6163	4	0	9	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	55	97	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4646	5	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	40	74	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	4852	4	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	44	75	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSGoal.json	908	3	0	7	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17	46	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSGroup.json	914	2	0	6	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	39	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	4736	4	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	44	75	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHospitalDischargeReport.json	2650	4	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	31	54	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHospitalDischargeReportHeader.json	18063	6	0	10	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	139	173	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3291	2	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	35	44	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	3624	2	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	39	43	0	0	0	1	0	0
