"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSLaboratoryOrderBody","EHDSLaboratoryOrderBody","","","",0,*,"","","","null {[]} {[]}
","Laboratory order body model","B.1 - EHDS refined base model for Laboratory order body","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSLaboratoryOrderBody.orderInformation","EHDSLaboratoryOrderBody.orderInformation","","","",0,*,"","","","Base {[]} {[]}
","B.1.1 - Order information","Order Information","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.orderInformation",0,*,"",""
"EHDSLaboratoryOrderBody.orderInformation.orderId","EHDSLaboratoryOrderBody.orderInformation.orderId","","","",1,*,"","","","Identifier {[]} {[]}
","B.1.1.1 - Order Id","An identifier of the laboratory test order.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.orderInformation.orderId",1,*,"",""
"EHDSLaboratoryOrderBody.orderInformation.orderDateAndTime","EHDSLaboratoryOrderBody.orderInformation.orderDateAndTime","","","",0,1,"","","","dateTime {[]} {[]}
","B.1.1.2 - Order date and time","Date and time of the order placement.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.orderInformation.orderDateAndTime",0,1,"",""
"EHDSLaboratoryOrderBody.orderInformation.orderText","EHDSLaboratoryOrderBody.orderInformation.orderText","","","",0,1,"","","","string {[]} {[]}
","B.1.1.3 - Order text","A verbal description of the order or any supplementary requirements specific to each type of order, if they cannot be expressed formally.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.orderInformation.orderText",0,1,"",""
"EHDSLaboratoryOrderBody.orderInformation.orderPlacer[x]","EHDSLaboratoryOrderBody.orderInformation.orderPlacer[x]","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganization {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}","B.1.1.3 - Order placer","The person/organization \""authorised\"" to place the order. Order placer could be either a health professional, health professional organization or the patient himself.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.orderInformation.orderPlacer[x]",0,1,"",""
"EHDSLaboratoryOrderBody.orderInformation.orderReasonText","EHDSLaboratoryOrderBody.orderInformation.orderReasonText","","","",0,*,"","","","string {[]} {[]}
","B.1.1.4 - Order reason text","An explanation or justification for why this service is being requested in textual form.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.orderInformation.orderReasonText",0,*,"",""
"EHDSLaboratoryOrderBody.orderInformation.orderReason","EHDSLaboratoryOrderBody.orderInformation.orderReason","","","",0,*,"","","","Reference {[]} {[CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSObservation]]}
","B.1.1.5 - Order reason","An explanation or justification for why this service is being requested in coded form.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.orderInformation.orderReason",0,*,"",""
"EHDSLaboratoryOrderBody.encounter","EHDSLaboratoryOrderBody.encounter","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSEncounter]]}
","B.1.2 - Encounter","An encounter that provides additional information about the healthcare context in which this order is made.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.encounter",0,1,"",""
"EHDSLaboratoryOrderBody.supportingInformation","EHDSLaboratoryOrderBody.supportingInformation","","","",0,1,"","","","Base {[]} {[]}
","B.1.3 - Supporting information","Additional clinical information about the patient or specimen that may influence the services or their interpretations. This information includes diagnosis, clinical findings and other observations. In laboratory ordering these are typically referred to as 'ask at order entry questions (AOEs).' This includes observations explicitly requested by the producer (filler) to provide context or supporting information needed to complete the order. For example, reporting the amount of inspired oxygen for blood gas measurements.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.supportingInformation",0,1,"",""
"EHDSLaboratoryOrderBody.supportingInformation.observation","EHDSLaboratoryOrderBody.supportingInformation.observation","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSObservation {[]} {[]}
","B.1.3.1 - Observation","Clinical findings and other observations.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.supportingInformation.observation",0,*,"",""
"EHDSLaboratoryOrderBody.supportingInformation.condition","EHDSLaboratoryOrderBody.supportingInformation.condition","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition {[]} {[]}
","B.1.3.2 - Condition","Condition that may influence the service or result interpretation.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.supportingInformation.condition",0,*,"",""
"EHDSLaboratoryOrderBody.supportingInformation.medicationAdministration","EHDSLaboratoryOrderBody.supportingInformation.medicationAdministration","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedicationAdministration {[]} {[]}
","B.1.3.3 - Medication Administration","Medication administered before ordering the service.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.supportingInformation.medicationAdministration",0,*,"",""
"EHDSLaboratoryOrderBody.supportingInformation.sexForClinicalUse","EHDSLaboratoryOrderBody.supportingInformation.sexForClinicalUse","","","",0,*,"","","","CodeableConcept {[]} {[]}
","B.1.3.4 - Sex for clinical use","A Sex Parameter for Clinical Use is a parameter that provides guidance on how a recipient should apply settings or reference ranges that are derived from observable information such as an organ inventory, recent hormone lab tests, genetic testing, menstrual status, obstetric history, etc.. This property is intended for use in clinical decision making, and indicates that treatment or diagnostic tests should consider best practices associated with the relevant reference population","","","","","","","","","",,"preferred","HL7 sex-parameter-for-clinical-use","","",,,,"EHDSLaboratoryOrderBody.supportingInformation.sexForClinicalUse",0,*,"",""
"EHDSLaboratoryOrderBody.supportingInformation.vaccination","EHDSLaboratoryOrderBody.supportingInformation.vaccination","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSImmunization {[]} {[]}
","B.1.3.5 - Vaccination","Vaccination history of the patient.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.supportingInformation.vaccination",0,*,"",""
"EHDSLaboratoryOrderBody.supportingInformation.otherSupportingInformation","EHDSLaboratoryOrderBody.supportingInformation.otherSupportingInformation","","","",0,*,"","","","Resource {[]} {[]}
","B.1.3.6 - Other supporting information","Any other type of relevant supporting information","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.supportingInformation.otherSupportingInformation",0,*,"",""
"EHDSLaboratoryOrderBody.specimen","EHDSLaboratoryOrderBody.specimen","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSSpecimen {[]} {[]}
","B.1.4 - Specimen","Specimen information","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.specimen",0,*,"",""
"EHDSLaboratoryOrderBody.serviceRequests","EHDSLaboratoryOrderBody.serviceRequests","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSServiceRequest {[]} {[]}
","B.1.5 - Service requests","Specification of requested service or services","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.serviceRequests",0,*,"",""
"EHDSLaboratoryOrderBody.allergy","EHDSLaboratoryOrderBody.allergy","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAllergyIntolerance {[]} {[]}
","B.1.6 - Allergy","Allergies and intolerances that may affect order execution or interpretation of results","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.allergy",0,*,"",""
"EHDSLaboratoryOrderBody.alerts","EHDSLaboratoryOrderBody.alerts","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAlertFlag {[]} {[]}
","B.1.7 - Alerts","Alerts and warnings that may affect order execution or interpretation of results","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.alerts",0,*,"",""
"EHDSLaboratoryOrderBody.appointment","EHDSLaboratoryOrderBody.appointment","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAppointment {[]} {[]}
","B.1.8 - Appointment","Information about the appointment (if the appointment has been booked)","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.appointment",0,1,"",""
