Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	24873	-	0	0	0	0	0	0	4	93	0	0	0	0	0	0	0	0	0	0	101	146	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-ANY.json	892	6	0	8	0	0	0	0	0	30	0	0	1	0	0	1	0	0	0	0	23	646	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-Coded.json	1123	4	0	11	1	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	27	215	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4038	6	0	14	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	44	196	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlertFlag.json	6056	5	0	15	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	65	184	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9615	7	0	16	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	79	264	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAppointment.json	11934	7	0	17	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	87	151	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	5650	5	0	15	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	99	94	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachments.json	1890	5	0	12	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	29	53	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3606	4	0	13	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	38	76	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	7753	5	0	16	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	59	101	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSClinicalImpression.json	8939	6	0	16	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	76	115	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9473	6	0	20	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	75	135	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSConditionHdr.json	2318	3	0	21	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	37	112	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3668	4	0	9	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	34	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	6051	5	0	15	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	62	84	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSDevice.json	4738	4	0	13	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	45	78	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5894	5	0	15	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	49	81	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDispenseDecline.json	3499	3	0	13	1	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	42	82	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9565	4	0	42	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	85	140	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2822	3	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	35	67	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	17724	7	0	14	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	150	204	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	13211	6	0	10	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	97	129	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6163	4	0	7	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	54	92	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4646	4	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	40	66	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSFamilyMemberHistory.json	4249	4	0	5	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	42	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	4875	4	0	6	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	50	76	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSGoal.json	908	2	0	3	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	40	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSGroup.json	914	3	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	39	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	4736	3	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	38	66	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHospitalDischargeReport.json	3161	4	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	33	45	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHospitalDischargeReportBody.json	80247	19	0	52	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	556	499	0	0	0	26	1	1
fsh-generated/resources/StructureDefinition-EHDSHospitalDischargeReportHeader.json	18062	4	0	13	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	128	146	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3291	3	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	33	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	3624	3	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	35	79	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReportBody.json	22831	8	0	14	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	169	178	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReportHeader.json	14754	6	0	10	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	111	138	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	17378	8	0	13	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	130	145	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunization.json	6636	4	0	7	1	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	54	84	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSInpatientEncounter.json	2092	3	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	45	100	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	3381	3	0	32	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	60	152	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryOrder.json	2910	3	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	32	52	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryOrderBody.json	11641	5	0	8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	88	101	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryOrderHeader.json	14189	7	0	10	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	103	127	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	2982	3	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	32	47	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReportBody.json	11219	5	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	86	83	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReportHeader.json	3434	3	0	12	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	46	93	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	5173	3	0	5	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	44	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedia.json	6642	5	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	58	84	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	15785	6	0	7	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	136	196	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	5382	3	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	49	56	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	7336	4	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	72	88	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	18358	6	0	12	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	162	154	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationStatement.json	5720	4	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	47	69	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	20477	5	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	156	162	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSOrganization.json	3849	2	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	34	42	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	5623	4	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	45	68	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientSummary.json	34276	12	0	24	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	264	247	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-EHDSProcedure.json	8369	4	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	65	63	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSRelatedPerson.json	3815	3	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	33	38	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSServiceRequest.json	8779	5	0	7	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	66	57	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSSlot.json	908	2	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	32	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-EHDSSpecimen.json	7764	5	0	7	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	60	72	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstance.json	4066	3	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	41	41	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSTask.json	908	3	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	47	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSTelecom.json	2329	3	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	24	36	0	0	0	1	0	0
