Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	23410	-	0	0	0	0	0	0	11	71	0	0	0	0	0	0	0	1	0	0	89	144	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4192	9	0	8	0	0	0	0	0	34	0	0	1	0	0	0	0	0	0	0	68	753	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5183	5	0	53	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	62	288	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	4152	2	0	36	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	51	196	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10789	6	0	29	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	95	224	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAppointment.json	5175	5	0	22	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	53	121	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3912	4	0	15	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	39	100	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3856	4	0	15	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	38	104	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4724	5	0	24	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	47	68	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8660	6	0	28	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	80	87	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSConditionHdr.json	2286	3	0	23	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	36	95	0	0	0	1	0	0
