"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSAllergyIntolerance","EHDSAllergyIntolerance","","","",0,*,"","","","null {[]} {[]}
","Allergy intolerance model","EHDS refined base model for allergy/intolerance","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSAllergyIntolerance.identifier","EHDSAllergyIntolerance.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifier for the allergy/intolerance record","Identifier for the allergy/intolerance record","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.identifier",0,*,"",""
"EHDSAllergyIntolerance.subject","EHDSAllergyIntolerance.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","The patient who has the allergy or intolerance","The patient who has the allergy or intolerance","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.subject",1,1,"",""
"EHDSAllergyIntolerance.status","EHDSAllergyIntolerance.status","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Current status of the allergy or intolerance (e.g. active, in remission, resolved)","Current status of the allergy or intolerance (e.g. active, in remission, resolved)","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSAllergyIntolerance.status",0,1,"",""
"EHDSAllergyIntolerance.allergyDescription","EHDSAllergyIntolerance.allergyDescription","","","",0,1,"","","","string {[]} {[]}
","Textual description of the allergy or intolerance","Textual description of the allergy or intolerance","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.allergyDescription",0,1,"",""
"EHDSAllergyIntolerance.typeOfPropensity","EHDSAllergyIntolerance.typeOfPropensity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of propensity describes whether this condition refers to an allergy, non-allergy intolerance, or unknown class of intolerance (not known to be allergy or intolerance)","Type of propensity describes whether this condition refers to an allergy, non-allergy intolerance, or unknown class of intolerance (not known to be allergy or intolerance)","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSAllergyIntolerance.typeOfPropensity",0,1,"",""
"EHDSAllergyIntolerance.allergyManifestation","EHDSAllergyIntolerance.allergyManifestation","","","",0,*,"","","","Base {[]} {[]}
","Description of the clinical manifestation of the allergic reaction including date of manifestation and severity. Example: anaphylactic shock, angioedema (the clinical manifestation also gives information about the severity of the observed reaction).","Description of the clinical manifestation of the allergic reaction including date of manifestation and severity. Example: anaphylactic shock, angioedema (the clinical manifestation also gives information about the severity of the observed reaction).","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.allergyManifestation",0,*,"",""
"EHDSAllergyIntolerance.allergyManifestation.date","EHDSAllergyIntolerance.allergyManifestation.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of allergy manifestation","Date and time of allergy manifestation","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.allergyManifestation.date",0,1,"",""
"EHDSAllergyIntolerance.allergyManifestation.severity","EHDSAllergyIntolerance.allergyManifestation.severity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Severity of the clinical manifestation of the allergic reaction.","Severity of the clinical manifestation of the allergic reaction.","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSAllergyIntolerance.allergyManifestation.severity",0,1,"",""
"EHDSAllergyIntolerance.allergyManifestation.description","EHDSAllergyIntolerance.allergyManifestation.description","","","",0,1,"","","","string {[]} {[]}
","Description of the event as a whole","Description of the event as a whole","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.allergyManifestation.description",0,1,"",""
