"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSHospitalDischargeReportHeader","EHDSHospitalDischargeReportHeader","","","",0,*,"","","","null {[]} {[]}
","Hospital Discharge Report header model","A.1 - EHDS refined base model for Hospital Discharge Report header data elements","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSHospitalDischargeReportHeader.subject","EHDSHospitalDischargeReportHeader.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","A.1.1 - Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.subject",1,1,"",""
"EHDSHospitalDischargeReportHeader.relatedPerson","EHDSHospitalDischargeReportHeader.relatedPerson","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSRelatedPerson {[]} {[]}
","A.1.2 - Related person","Patient/subject guardian and related person information","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.relatedPerson",0,*,"",""
"EHDSHospitalDischargeReportHeader.preferredHealthProfessional[x]","EHDSHospitalDischargeReportHeader.preferredHealthProfessional[x]","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganisation {[]} {[]}","A.1.3 - Preferred Health Professional","Preferred health professional (HP) - This section can be repeated and linked to any specific information in the document, for example a link between a rare disease problem and the rare disease specialist responsible for the care of the individual patient (this section).","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.preferredHealthProfessional[x]",0,*,"",""
"EHDSHospitalDischargeReportHeader.healthInsuranceAndPaymentInformation","EHDSHospitalDischargeReportHeader.healthInsuranceAndPaymentInformation","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCoverage {[]} {[]}
","A.1.4 - Health insurance and payment information","Health insurance information (Health insurance information is not always required, however, in some jurisdictions, the insurance number is also used as the patient identifier. It is necessary not just for identification but also forms access to funding for care.)","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.healthInsuranceAndPaymentInformation",0,*,"",""
"EHDSHospitalDischargeReportHeader.intendedRecipient","EHDSHospitalDischargeReportHeader.intendedRecipient","","","",0,*,"","","","Reference {[]} {[CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSRelatedPerson], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganisation], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDevice]]}
","A.1.5 - Intended recipient","Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.intendedRecipient",0,*,"",""
"EHDSHospitalDischargeReportHeader.authorship","EHDSHospitalDischargeReportHeader.authorship","","","",1,*,"","","","Base {[]} {[]}
","A.1.6 - Authorship","Information about author or authors of the document","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.authorship",1,*,"",""
"EHDSHospitalDischargeReportHeader.authorship.author","EHDSHospitalDischargeReportHeader.authorship.author","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","A.1.6.1 - Author","Author by whom the document was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.authorship.author",1,1,"",""
"EHDSHospitalDischargeReportHeader.authorship.datetime","EHDSHospitalDischargeReportHeader.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","A.1.6.2 - DateTime","Date and time of the last modification of the document by its Author.","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.authorship.datetime",1,1,"",""
"EHDSHospitalDischargeReportHeader.attestation","EHDSHospitalDischargeReportHeader.attestation","","","",0,*,"","","","Base {[]} {[]}
","A.1.7 - Attestation","Document attestation details","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.attestation",0,*,"",""
"EHDSHospitalDischargeReportHeader.attestation.attester","EHDSHospitalDischargeReportHeader.attestation.attester","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","A.1.7.1 - Attester","Attester who validated the document. Mulitple attesters could be provided.","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.attestation.attester",1,1,"",""
"EHDSHospitalDischargeReportHeader.attestation.datetime","EHDSHospitalDischargeReportHeader.attestation.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","A.1.7.2 - DateTime","Date and time of the approval of the document by Attester.","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.attestation.datetime",1,1,"",""
"EHDSHospitalDischargeReportHeader.legalAuthentication","EHDSHospitalDischargeReportHeader.legalAuthentication","","","",0,1,"","","","Base {[]} {[]}
","A.1.8 - Legal authentication","Document legal authentication","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.legalAuthentication",0,1,"",""
"EHDSHospitalDischargeReportHeader.legalAuthentication.legalAuthenticator","EHDSHospitalDischargeReportHeader.legalAuthentication.legalAuthenticator","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","A.1.8.1 - Legal authenticator","The person taking responsibility for the medical content of the document","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.legalAuthentication.legalAuthenticator",1,1,"",""
"EHDSHospitalDischargeReportHeader.legalAuthentication.datetime","EHDSHospitalDischargeReportHeader.legalAuthentication.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","A.1.8.2 - DateTime","Date and time when the document was authorized.","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.legalAuthentication.datetime",1,1,"",""
"EHDSHospitalDischargeReportHeader.documentMetadata","EHDSHospitalDischargeReportHeader.documentMetadata","","","",1,1,"","","","Base {[]} {[]}
","A.1.9 - Document metadata","Data relevant to document type and its content for administrative and searching purposes.","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.documentMetadata",1,1,"",""
"EHDSHospitalDischargeReportHeader.documentMetadata.documentId","EHDSHospitalDischargeReportHeader.documentMetadata.documentId","","","",1,1,"","","","Identifier {[]} {[]}
","A.1.9.1 - Document ID","Unique identifier of the document","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.documentMetadata.documentId",1,1,"",""
"EHDSHospitalDischargeReportHeader.documentMetadata.documentType","EHDSHospitalDischargeReportHeader.documentMetadata.documentType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","A.1.9.2 - Document type","Identifies the type of document at hand, e.g. Hospital discharge report.","","","","","","","","","",,"preferred","LOINC","","",,,,"EHDSHospitalDischargeReportHeader.documentMetadata.documentType",1,1,"",""
"EHDSHospitalDischargeReportHeader.documentMetadata.documentStatus","EHDSHospitalDischargeReportHeader.documentMetadata.documentStatus","","","",1,1,"","","","CodeableConcept {[]} {[]}
","A.1.9.3 - Document status","The status of the document/report. E.g., preliminary, final.","","","","","","","","","",,"preferred","hl7:CompositionStatus, hl7:DiagnosticReportStatus","","",,,,"EHDSHospitalDischargeReportHeader.documentMetadata.documentStatus",1,1,"",""
"EHDSHospitalDischargeReportHeader.documentMetadata.period","EHDSHospitalDischargeReportHeader.documentMetadata.period","","","",0,1,"","","","Period {[]} {[]}
","A.1.9.4 - Period","Documented period service. Typically used for searching purposes.","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.documentMetadata.period",0,1,"",""
"EHDSHospitalDischargeReportHeader.documentMetadata.reportDateAndTime","EHDSHospitalDischargeReportHeader.documentMetadata.reportDateAndTime","","","",1,1,"","","","dateTime {[]} {[]}
","A.1.9.5 - Report date and time","Date and time of the report creation.","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.documentMetadata.reportDateAndTime",1,1,"",""
"EHDSHospitalDischargeReportHeader.documentMetadata.documentTitle","EHDSHospitalDischargeReportHeader.documentMetadata.documentTitle","","","",1,1,"","","","string {[]} {[]}
","A.1.9.6 - Document title","Document title, such as ""Hospital discharge report"", ""Laboratory Result Report"" etc..","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.documentMetadata.documentTitle",1,1,"",""
"EHDSHospitalDischargeReportHeader.documentMetadata.eventType","EHDSHospitalDischargeReportHeader.documentMetadata.eventType","","","",0,*,"","","","CodeableConcept {[]} {[]}
","A.1.9.7 - Event type","Categorization of an ""event"" covered by the document (e.g. laboratory study types, imaging study types including modality, etc.). Selection of event types depends on the use case and agreement betwen data sharing parties. This meta-data element serves primarily for searching and filtering purpuses.","","","","","","","","","",,"preferred","LOINC, SNOMED CT, dicom-cid-33-Modality","","",,,,"EHDSHospitalDischargeReportHeader.documentMetadata.eventType",0,*,"",""
"EHDSHospitalDischargeReportHeader.documentMetadata.specialty","EHDSHospitalDischargeReportHeader.documentMetadata.specialty","","","",0,*,"","","","CodeableConcept {[]} {[]}
","A.1.9.8 - Specialty","Additional details about where the content was created (e.g. clinical specialty)","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSHospitalDischargeReportHeader.documentMetadata.specialty",0,*,"",""
"EHDSHospitalDischargeReportHeader.documentMetadata.reportCustodian","EHDSHospitalDischargeReportHeader.documentMetadata.reportCustodian","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganisation {[]} {[]}
","A.1.9.9 - Report custodian","Organisation that is in charge of maintaining the report [this element will include organisation ID, name, address etc., as other elements describing organisations].","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.documentMetadata.reportCustodian",1,1,"",""
"EHDSHospitalDischargeReportHeader.documentMetadata.documentFormat","EHDSHospitalDischargeReportHeader.documentMetadata.documentFormat","","","",0,1,"","","","CodeableConcept {[]} {[]}
","A.1.9.10 - Document format","An identifier of the document constraints, encoding, structure, and template that the document conforms to beyond the base format indicated in the mimeType.","","","","","","","","","",,"preferred","HL7 Document Format Codes","","",,,,"EHDSHospitalDischargeReportHeader.documentMetadata.documentFormat",0,1,"",""
"EHDSHospitalDischargeReportHeader.documentMetadata.confidentiality","EHDSHospitalDischargeReportHeader.documentMetadata.confidentiality","","","",0,1,"","","","CodeableConcept {[]} {[]}
","A.1.9.11 - Confidentiality","Level of confidentiality of the document. Implicit value is normal.","","","","","","","","","",,"preferred","hl7:Confidentiality","","",,,,"EHDSHospitalDischargeReportHeader.documentMetadata.confidentiality",0,1,"",""
"EHDSHospitalDischargeReportHeader.documentMetadata.language","EHDSHospitalDischargeReportHeader.documentMetadata.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","A.1.9.12 - Language","Language in which the document is written. Language is expressed by the ISO language code.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSHospitalDischargeReportHeader.documentMetadata.language",0,1,"",""
"EHDSHospitalDischargeReportHeader.documentMetadata.version","EHDSHospitalDischargeReportHeader.documentMetadata.version","","","",0,1,"","","","string {[]} {[]}
","A.1.9.13 - Version","Version of the document","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.documentMetadata.version",0,1,"",""
"EHDSHospitalDischargeReportHeader.knowledgeResources","EHDSHospitalDischargeReportHeader.knowledgeResources","","","",0,*,"","","","Base {[]} {[]}
","A.1.10 - Knowledge resources","To provide links between specified data elements and external knowledge resources","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.knowledgeResources",0,*,"",""
"EHDSHospitalDischargeReportHeader.knowledgeResources.externalReference","EHDSHospitalDischargeReportHeader.knowledgeResources.externalReference","","","",0,*,"","","","uri {[]} {[]}
","A.1.10.1 - External reference","A reference leading to Clinical Practice Guidelines (CPG), emergency and anesthesia guidelines or other clinical relevant guidelines. This should be used only for providing specific guidance which may not be readily available to the health professional caring for the patient.","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.knowledgeResources.externalReference",0,*,"",""
"EHDSHospitalDischargeReportHeader.knowledgeResources.relatedWith","EHDSHospitalDischargeReportHeader.knowledgeResources.relatedWith","","","",0,*,"","","","Reference {[]} {[CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSProcedure], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSObservation]]}
","A.1.10.2 - Related with","Identify the entry or entries of this document or document part for which this additional information relates with, for example a link between a rare disease problem and guidelines for that particular rare disease (this section).","","","","","","","","","",,,,,"",,,,"EHDSHospitalDischargeReportHeader.knowledgeResources.relatedWith",0,*,"",""
