Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	21742	-	0	0	0	0	0	0	11	69	0	0	0	0	0	0	0	1	0	0	88	223	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4192	10	0	18	1	0	1	0	0	40	0	0	1	0	0	0	0	0	0	0	58	897	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5183	5	0	47	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	68	246	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	4142	5	0	54	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	48	153	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10789	6	0	17	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	84	204	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3912	4	0	14	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	37	94	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3856	5	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	39	97	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4218	5	0	19	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	54	117	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9596	6	0	15	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	78	193	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3904	4	0	9	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	42	92	0	0	0	2	0	0
