"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSLaboratoryReportBody","EHDSLaboratoryReportBody","","","",0,*,"","","","null {[]} {[]}
","Laboratory report body (model)","B.1 - EEHRxF refined base model for Laboratory result report body","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSLaboratoryReportBody.orderInformation","EHDSLaboratoryReportBody.orderInformation","","","",0,*,"","","","BackboneElement {[]} {[]}
","B.1.1 - Order information","Order Information (Laboratory Result Report could respond to multiple test orders)","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.orderInformation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"EHDSLaboratoryReportBody.orderInformation.id","EHDSLaboratoryReportBody.orderInformation.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"EHDSLaboratoryReportBody.orderInformation.extension","EHDSLaboratoryReportBody.orderInformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"EHDSLaboratoryReportBody.orderInformation.modifierExtension","EHDSLaboratoryReportBody.orderInformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"EHDSLaboratoryReportBody.orderInformation.orderId","EHDSLaboratoryReportBody.orderInformation.orderId","","","",1,*,"","","","Identifier {[]} {[]}
","B.1.1.1 - Order Id","An identifier of the laboratory test order. Laboratory Result Report may respond to multiple orders.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.orderInformation.orderId",1,*,"",""
"EHDSLaboratoryReportBody.orderInformation.orderDateAndTime","EHDSLaboratoryReportBody.orderInformation.orderDateAndTime","","","",0,1,"","","","dateTime {[]} {[]}
","B.1.1.2 - Order date and time","Date and time of the order placement.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.orderInformation.orderDateAndTime",0,1,"",""
"EHDSLaboratoryReportBody.orderInformation.orderPlacer","EHDSLaboratoryReportBody.orderInformation.orderPlacer","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessionalRole {[]} {[]}
","B.1.1.3 - Order placer","The health professional identification number. Either an internal identifier assigned by a healthcare provider institution or (preferably) a national health professional ID such as the license or registration number. In case when order placer is not a health professional, e.g. by patients themselves where applicable, appropriate personal identifier should be used. ","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.orderInformation.orderPlacer",0,1,"",""
"EHDSLaboratoryReportBody.orderInformation.orderReasonText","EHDSLaboratoryReportBody.orderInformation.orderReasonText","","","",0,*,"","","","Narrative {[]} {[]}
","B.1.1.4 - Order reason text","An explanation or justification for why this service is being requested in textual form.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.orderInformation.orderReasonText",0,*,"",""
"EHDSLaboratoryReportBody.orderInformation.orderReason","EHDSLaboratoryReportBody.orderInformation.orderReason","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition], CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation]]}
","B.1.1.5 - Order reason","An explanation or justification for why this service is being requested in coded form.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.orderInformation.orderReason",0,*,"",""
"EHDSLaboratoryReportBody.orderInformation.supportingInformation","EHDSLaboratoryReportBody.orderInformation.supportingInformation","","","",0,*,"","","","BackboneElement {[]} {[]}
","B.1.1.6 - Supporting information","Additional clinical information about the patient or specimen that may influence the services or their interpretations. This information includes diagnosis, clinical findings and other observations. In laboratory ordering these are typically referred to as 'ask at order entry questions (AOEs).' This includes observations explicitly requested by the producer (filler) to provide context or supporting information needed to complete the order. For example, reporting the amount of inspired oxygen for blood gas measurements.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.orderInformation.supportingInformation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
