"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSMedicationDispense","EHDSMedicationDispense","","","",0,*,"","","","null {[]} {[]}
","Medication Dispensation (model)","Logical model for medication dispensation (based on request or independently)","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSMedicationDispense.identifier","EHDSMedicationDispense.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifier for the dispense","Identifier for the dispense","Not explicitly in eHN guidelines","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.identifier",0,*,"",""
"EHDSMedicationDispense.patient","EHDSMedicationDispense.patient","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","The person for whom the medication is prescribed/ordered","The person for whom the medication is prescribed/ordered","No change","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.patient",1,1,"",""
"EHDSMedicationDispense.receiver[x]","EHDSMedicationDispense.receiver[x]","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessionalRole {[]} {[]}","Identification of the person who received the dispensed medication, especially when it was not the patient","Identification of the person who received the dispensed medication, especially when it was not the patient","Added","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.receiver[x]",0,1,"",""
"EHDSMedicationDispense.dispenser[x]","EHDSMedicationDispense.dispenser[x]","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessionalRole {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganization {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDevice {[]} {[]}","The person who dispensed the product, and takes the responsibility of the dispensation","The person who dispensed the product, and takes the responsibility of the dispensation","Added device. Organisation is in eHN guidelines, but probably meant in combination with the pharmacist","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.dispenser[x]",1,1,"",""
"EHDSMedicationDispense.relatedRequest","EHDSMedicationDispense.relatedRequest","","","",0,*,"","","","Reference {[]} {[CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedicationPrescription]]}
","Prescription/request/order the dispense is related to","Prescription/request/order the dispense is related to","No change","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.relatedRequest",0,*,"",""
"EHDSMedicationDispense.medication","EHDSMedicationDispense.medication","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedication {[]} {[]}
","Exact dispensed product","Exact dispensed product","No change","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.medication",1,1,"",""
"EHDSMedicationDispense.dispensedQuantity","EHDSMedicationDispense.dispensedQuantity","","","",1,1,"","","","Quantity {[]} {[]}
","Number of dispensed packages if the pack size is known, or number of smaller items/units","Number of dispensed packages if the pack size is known, or number of smaller items/units","No change","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.dispensedQuantity",1,1,"",""
"EHDSMedicationDispense.timeOfDispensation","EHDSMedicationDispense.timeOfDispensation","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of dispensation","Date and time of dispensation","No change","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.timeOfDispensation",1,1,"",""
"EHDSMedicationDispense.substitution","EHDSMedicationDispense.substitution","","","",0,1,"","","","BackboneElement {[]} {[]}
","Indicated whether substitution was made by the dispenser","Question: is this relevant? It is in eHDSI dispensation.","No change but subelements added","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.substitution",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
