Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.eu.fhir.xt-ehr.common.json	18276	-	0	0	0	0	0	0	5	77	0	0	0	0	0	0	0	1	0	0	91	117	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-ANY.json	892	19	1	0	0	0	0	7	0	29	0	0	0	0	0	0	0	1	0	0	31	1593	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-Coded.json	1123	17	0	0	0	0	0	11	0	6	0	0	0	0	0	0	0	0	0	0	40	254	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4042	19	0	0	0	0	0	15	0	15	0	0	0	0	0	0	0	0	0	0	47	274	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergy.json	942	16	0	0	0	0	0	11	0	6	0	0	0	0	0	0	0	0	0	0	17	97	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSAppointment.json	11887	23	0	0	0	0	0	21	0	26	0	0	0	0	0	0	0	1	0	0	119	410	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	4376	18	0	0	0	0	0	14	0	11	0	0	0	0	0	0	0	0	0	0	44	123	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	7765	20	0	0	0	0	0	17	0	15	0	0	0	0	0	0	0	1	0	0	66	165	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	6250	19	0	0	0	0	0	15	0	14	0	0	0	0	0	0	0	0	0	0	53	156	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	4742	19	0	0	0	0	0	14	0	11	0	0	0	0	0	0	0	3	0	0	46	141	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	17827	20	0	0	0	0	0	41	0	36	0	0	0	0	0	0	0	1	0	0	212	555	0	0	0	9	1	1
fsh-generated/resources/StructureDefinition-EHDSGoal.json	912	4	0	0	0	0	0	11	0	5	0	0	0	0	0	0	0	0	0	0	16	95	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSGroup.json	918	3	0	0	0	0	0	10	0	4	0	0	0	0	0	0	0	0	0	0	17	72	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	3334	5	1	0	0	0	0	13	0	12	0	0	0	0	0	0	0	0	0	0	30	107	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessionalRole.json	3672	4	0	0	0	0	0	12	0	8	0	0	0	0	0	0	0	0	0	0	34	114	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	1860	4	0	0	0	0	0	11	0	6	0	0	0	0	0	0	0	0	0	0	22	93	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReportBody.json	21744	14	0	0	0	0	0	45	0	36	0	0	0	0	0	0	0	1	0	0	238	710	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReportHeader.json	15563	10	0	0	0	0	0	22	0	27	0	0	0	0	0	0	0	1	0	0	132	303	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSImgCondition.json	1244	3	0	0	0	0	0	11	0	5	0	0	0	0	0	0	0	0	0	0	17	64	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	3392	4	0	0	0	0	0	52	0	13	0	0	0	0	0	0	0	0	0	0	102	279	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	1926	4	0	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	23	75	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReportBody.json	9464	7	0	0	0	0	0	18	0	15	0	0	0	0	0	0	0	1	0	0	91	211	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReportHeader.json	14091	9	0	0	0	0	0	18	0	23	0	0	0	0	0	0	0	0	0	0	120	258	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	5188	7	0	0	0	0	0	7	0	12	0	0	0	0	0	0	0	0	0	0	50	136	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedia.json	6076	6	0	0	0	0	0	6	0	13	0	0	1	0	0	0	0	0	0	0	55	141	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	16200	11	0	0	0	0	0	22	0	40	0	0	0	0	0	0	0	1	0	0	157	344	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	7745	7	1	0	0	0	0	11	0	16	0	0	0	0	0	0	0	0	0	0	76	114	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	9166	7	0	0	0	0	0	9	0	14	0	0	0	0	0	0	0	1	0	0	88	111	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	18644	10	0	0	0	0	0	9	0	23	0	0	0	0	0	0	0	0	0	0	141	181	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	12704	9	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	127	155	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSOrganization.json	3853	4	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	1	0	0	34	66	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	5506	5	0	0	0	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	44	86	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSProcedure.json	7194	7	0	0	0	0	0	5	0	10	0	0	0	0	0	0	0	0	0	0	59	163	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSRelatedPerson.json	3551	4	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	32	93	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSServiceRequest.json	5919	5	0	0	0	0	0	4	0	9	0	0	0	0	0	0	0	0	0	0	44	177	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSSlot.json	912	3	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	15	65	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSSpecimen.json	5139	5	0	0	0	0	0	5	0	10	0	0	0	0	0	0	0	0	0	0	43	132	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSTask.json	912	3	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	15	68	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSTelecom.json	2333	4	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	26	103	1	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHNDocumentMetadata.json	3946	4	1	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	39	101	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHNHealthProfessional.json	4063	4	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	35	81	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-EHNMedication.json	6977	5	0	0	0	0	0	4	0	8	0	0	0	0	0	0	0	1	0	0	53	68	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHNMedicationPrescription.json	8549	6	0	0	0	0	0	4	0	11	0	0	0	0	0	0	0	0	0	0	63	102	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHNOrganizationModel.json	4626	4	0	0	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	46	64	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHNPatient.json	4251	5	0	0	0	0	0	4	0	6	0	0	1	0	0	0	0	0	0	0	39	62	0	0	0	1	0	0
