"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSLocation","EHDSLocation","","","",0,*,"","","","null {[]} {[]}
","Location (model)","C.17 - EHDS refined base model for Details and position information for a place where services are provided and resources and participants may be stored, found, contained, or accommodated.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSLocation.identifier","EHDSLocation.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","C.17.1 - Identifier","Location identifier","","","","","","","","","",,,,,"",,,,"EHDSLocation.identifier",0,*,"",""
"EHDSLocation.name","EHDSLocation.name","","","",0,1,"","","","string {[]} {[]}
","C.17.2 - Name","Name of the location as used by humans","","","","","","","","","",,,,,"",,,,"EHDSLocation.name",0,1,"",""
"EHDSLocation.description","EHDSLocation.description","","","",0,1,"","","","Narrative {[]} {[]}
","C.17.3 - Description","Additional details about the location that could be displayed as further information to identify the location beyond its name","","","","","","","","","",,,,,"",,,,"EHDSLocation.description",0,1,"",""
"EHDSLocation.type","EHDSLocation.type","","","",0,*,"","","","CodeableConcept {[]} {[]}
","C.17.4 - Type","Type of function performed at the location","","","","","","","","","",,"preferred","HL7 ServiceDeliveryLocationRoleType","","",,,,"EHDSLocation.type",0,*,"",""
"EHDSLocation.address","EHDSLocation.address","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAddress {[]} {[]}
","C.17.5 - Address","Physical location address","","","","","","","","","",,,,,"",,,,"EHDSLocation.address",0,1,"",""
"EHDSLocation.position","EHDSLocation.position","","","",0,1,"","","","BackboneElement {[]} {[]}
","C.17.6 - Position","The absolute geographic location of the Location, expressed using the WGS84 datum (This is the same co-ordinate system used in KML).","","","","","","","","","",,,,,"",,,,"EHDSLocation.position",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"EHDSLocation.position.id","EHDSLocation.position.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"EHDSLocation.position.extension","EHDSLocation.position.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"EHDSLocation.position.modifierExtension","EHDSLocation.position.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
