Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.eu.fhir.xt-ehr.common.json	19190	-	0	0	0	0	0	0	6	87	0	0	0	0	0	0	0	1	0	0	149	91	0	0	1	3	0	1
fsh-generated/resources/StructureDefinition-ANY.json	892	12	1	0	0	0	0	8	0	28	0	0	1	0	0	0	0	1	0	0	51	1758	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-Coded.json	1123	13	0	0	0	0	0	10	0	7	0	0	0	0	0	0	0	0	0	0	64	242	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4042	8	0	0	0	0	0	13	0	12	0	0	0	0	0	0	0	0	0	0	112	244	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9136	5	0	0	0	0	0	18	0	19	0	0	0	0	0	0	0	0	0	0	199	354	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAppointment.json	11883	8	0	0	0	0	0	18	0	21	0	0	0	0	0	0	0	1	0	0	188	367	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	4376	5	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	83	161	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachments.json	1892	2	0	0	0	0	0	10	0	6	0	0	0	0	0	0	0	0	0	0	45	86	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	7757	3	0	0	0	0	0	13	0	12	0	0	0	0	0	0	0	0	0	0	112	214	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	6250	3	0	0	0	0	0	13	0	14	0	0	0	0	0	0	0	0	0	0	125	176	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	4742	3	1	0	0	0	0	13	0	9	0	0	0	0	0	0	0	0	0	0	86	155	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	17827	6	0	0	0	0	0	33	0	31	0	0	1	0	0	0	0	1	0	0	444	597	0	0	0	10	0	2
fsh-generated/resources/StructureDefinition-EHDSGoal.json	912	2	0	0	0	0	0	9	0	4	0	0	0	0	0	0	0	0	0	0	33	51	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSGroup.json	918	2	0	0	0	0	0	10	0	4	0	0	0	0	0	0	0	0	0	0	33	46	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	5701	3	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	90	84	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	2300	2	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	0	0	0	42	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReportBody.json	22702	9	0	0	0	0	0	38	0	30	0	0	0	0	0	0	0	1	0	0	463	516	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-EHDSImagingReportHeader.json	16883	6	0	0	0	0	0	25	0	22	0	0	0	0	0	0	0	0	0	0	321	266	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSImgCondition.json	1244	2	1	0	0	0	0	9	0	4	0	0	0	0	0	0	0	0	0	0	26	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	3392	2	0	0	0	0	0	39	0	10	0	0	0	0	0	0	0	0	0	0	119	262	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	2381	3	0	0	0	0	0	10	0	4	0	0	0	0	0	0	0	0	0	0	44	126	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReportBody.json	10280	6	0	0	0	0	0	21	0	13	0	0	0	0	0	0	0	1	0	0	184	316	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReportHeader.json	15435	6	0	0	0	0	0	24	0	21	0	0	0	0	0	0	0	0	0	0	288	357	0	0	0	5	1	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	5188	2	0	0	0	0	0	13	0	12	0	0	0	0	0	0	0	0	0	0	103	128	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedia.json	6076	58	0	0	0	0	0	14	0	9	0	0	0	0	0	0	0	0	0	0	103	82	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	16200	5	1	0	0	0	0	23	0	69	0	0	1	0	0	0	0	0	0	0	314	254	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	7339	3	0	0	0	0	0	8	0	16	0	0	0	0	0	0	0	1	0	0	142	143	0	0	0	3	0	0
