Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	23781	-	0	0	0	0	0	0	9	92	0	0	0	0	0	0	0	0	0	0	91	149	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4192	9	0	11	0	0	0	0	0	38	0	0	1	0	0	0	0	1	0	0	54	792	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5183	4	0	54	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	59	316	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSAlert.json	4152	3	0	15	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	47	195	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10789	5	0	22	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	84	276	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAppointment.json	5175	5	0	16	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	49	103	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3912	3	0	15	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	38	82	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3856	4	0	15	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	39	86	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4724	3	0	15	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	50	82	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8660	3	0	18	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	87	135	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSConditionHdr.json	2286	3	0	18	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	37	131	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3904	2	0	16	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	41	81	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	6051	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	64	99	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5152	3	0	17	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	50	97	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5677	3	0	20	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	73	118	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	2873	3	0	10	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	46	62	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReportBody.json	83853	17	0	51	0	0	0	0	0	103	0	0	0	0	0	0	0	1	0	0	582	639	0	0	0	23	0	1
fsh-generated/resources/StructureDefinition-EHDSDischargeReportHeader.json	3164	3	0	45	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	46	101	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSDispenseDecline.json	3071	3	0	11	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	52	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9538	31	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	121	146	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2754	6	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	51	74	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18269	9	0	26	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	168	201	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12926	7	0	7	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	99	149	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6033	5	0	4	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	56	90	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4556	5	0	3	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	40	73	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFamilyMemberHistory.json	4172	4	0	4	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	43	84	1	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	6416	4	0	8	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	65	121	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSGroup.json	914	3	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	47	0	0	0	0	0	0
