Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	26991	-	0	0	0	0	0	0	10	76	0	0	0	0	0	0	0	1	0	0	103	139	0	0	0	3	0	0
fsh-generated/resources/ActorDefinition-actor-consumer.json	199	21	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	16	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-actor-producer.json	199	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4008	7	0	9	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	55	765	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1809	5	0	41	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	50	183	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	2800	5	0	41	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	58	149	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5478	5	0	17	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	64	151	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9415	7	0	21	0	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	96	186	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntoleranceObligations.json	5882	9	0	24	1	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	87	202	0	0	0	2	1	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3674	5	0	14	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	43	128	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3241	5	0	14	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	40	93	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5020	5	0	17	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	79	122	0	0	0	1	0	0
