"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSImagingReportBody","EHDSImagingReportBody","","","",0,*,"","","","null {[]} {[]}
","Imaging report body model","B.1 - EHDS refined base model for Imaging report body","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSImagingReportBody.orderInformation","EHDSImagingReportBody.orderInformation","","","",0,*,"","","","Base {[]} {[]}
","B.1.1 - Order information","Order Information (Imaging Result Report could respond to multiple service orders)","","","","","","","","","",,,,,"",,,,"EHDSImagingReportBody.orderInformation",0,*,"",""
"EHDSImagingReportBody.orderInformation.orderId","EHDSImagingReportBody.orderInformation.orderId","","","",1,*,"","","","Identifier {[]} {[]}
","B.1.1.1 - Order Id","An identifier of the imaging service order. Imaging Result Report may respond to multiple orders.","","","","","","","","","",,,,,"",,,,"EHDSImagingReportBody.orderInformation.orderId",1,*,"",""
"EHDSImagingReportBody.orderInformation.orderDateAndTime","EHDSImagingReportBody.orderInformation.orderDateAndTime","","","",0,1,"","","","dateTime {[]} {[]}
","B.1.1.2 - Order date and time","Date and time of the order placement.","","","","","","","","","",,,,,"",,,,"EHDSImagingReportBody.orderInformation.orderDateAndTime",0,1,"",""
"EHDSImagingReportBody.orderInformation.orderPlacer[x]","EHDSImagingReportBody.orderInformation.orderPlacer[x]","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganization {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}","B.1.1.3 - Order placer","The person/organization \""authorised\"" to place the order. Order placer could be either a health professional, health professional organization or the patient himself.","","","","","","","","","",,,,,"",,,,"EHDSImagingReportBody.orderInformation.orderPlacer[x]",0,1,"",""
"EHDSImagingReportBody.orderInformation.orderReasonText","EHDSImagingReportBody.orderInformation.orderReasonText","","","",0,*,"","","","Narrative {[]} {[]}
","B.1.1.4 - Order reason text","An explanation or justification for why this service is being requested in textual form.","","","","","","","","","",,,,,"",,,,"EHDSImagingReportBody.orderInformation.orderReasonText",0,*,"",""
"EHDSImagingReportBody.orderInformation.orderReason","EHDSImagingReportBody.orderInformation.orderReason","","","",0,*,"","","","Reference {[]} {[CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSObservation]]}
","B.1.1.5 - Order reason","An explanation or justification for why this service is being requested in coded form.","","","","","","","","","",,,,,"",,,,"EHDSImagingReportBody.orderInformation.orderReason",0,*,"",""
"EHDSImagingReportBody.orderInformation.clinicalQuestion","EHDSImagingReportBody.orderInformation.clinicalQuestion","","","",0,1,"","","","Narrative {[]} {[]}
","B.1.1.6 - Clinical question","Specification of clinical question (goal of the investigation) to be answered by the imaging investigation.","","","","","","","","","",,,,,"",,,,"EHDSImagingReportBody.orderInformation.clinicalQuestion",0,1,"",""
"EHDSImagingReportBody.orderInformation.supportingInformation","EHDSImagingReportBody.orderInformation.supportingInformation","","","",0,*,"","","","Base {[]} {[]}
","B.1.1.7 - Supporting information","Additional clinical information about the patient or specimen that may affect service delivery or interpretation. This information includes diagnosis, clinical findings and other observations. This includes observations explicitly requested by the producer (filler) to provide context or supporting information needed to complete the order.  For example, reporting the metal implants present in patien's body.","","","","","","","","","",,,,,"",,,,"EHDSImagingReportBody.orderInformation.supportingInformation",0,*,"",""
"EHDSImagingReportBody.orderInformation.supportingInformation.observation","EHDSImagingReportBody.orderInformation.supportingInformation.observation","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSObservation {[]} {[]}
","B.1.1.7.1 - Observation","Clinical findings and other observations. E.g., hight and weights of the patient.","","","","","","","","","",,,,,"",,,,"EHDSImagingReportBody.orderInformation.supportingInformation.observation",0,*,"",""
