Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	24873	-	0	0	0	0	0	0	4	106	0	0	0	0	0	0	0	1	0	0	92	233	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-ANY.json	892	6	0	9	0	0	1	1	0	48	0	0	1	0	0	0	0	0	0	0	27	697	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Coded.json	1123	3	0	13	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	29	199	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4038	6	0	16	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	47	156	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAlertFlag.json	6056	6	0	16	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	57	115	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9615	8	0	18	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	86	175	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSAppointment.json	11934	11	0	19	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	95	171	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	5650	5	0	11	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	56	104	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachments.json	1890	3	0	13	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	29	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3606	3	0	8	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	38	78	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	7753	6	0	16	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	71	98	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSClinicalImpression.json	8939	5	0	18	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	75	112	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9473	6	0	19	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	124	132	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSConditionHdr.json	2318	3	0	20	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	37	115	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3668	4	0	15	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	37	65	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	5885	5	0	17	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	63	84	0	0	0	4	0	2
fsh-generated/resources/StructureDefinition-EHDSDevice.json	4738	5	0	14	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	47	76	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5894	5	0	17	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	54	56	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDispenseDecline.json	3354	4	0	17	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	43	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9420	5	0	21	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	89	144	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2822	3	0	14	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	37	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	17724	5	0	22	0	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	151	183	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	13211	6	0	21	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	108	151	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6163	5	0	16	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	74	91	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4646	4	0	16	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	49	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFamilyMemberHistory.json	4249	4	0	15	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	60	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	4875	4	0	15	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	50	72	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSGoal.json	908	2	0	15	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	31	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSGroup.json	914	1	0	13	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	33	0	0	0	1	0	0
