Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	29069	-	0	0	0	0	0	0	12	75	0	0	0	0	0	0	0	1	0	0	117	117	0	0	0	5	0	1
fsh-generated/resources/ActorDefinition-actor-consumer.json	199	7	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-actor-producer.json	199	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4008	7	0	10	0	0	1	0	0	65	0	0	1	0	0	0	0	0	0	0	61	812	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1809	4	0	41	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	55	153	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	2800	4	0	39	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	50	166	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirectiveObligations.json	5225	7	0	21	1	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	82	167	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5478	5	0	17	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	127	132	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAlertObligations.json	3860	6	0	15	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	68	141	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9415	7	0	20	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	105	183	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAllergyIntoleranceObligations.json	5882	6	0	17	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	103	192	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3674	4	0	16	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	44	130	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3241	5	0	14	1	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	40	94	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5020	5	0	18	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	73	132	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8518	7	0	20	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	87	178	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSConditionObligations.json	5046	6	0	17	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	78	162	0	1	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3816	5	0	17	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	58	106	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4822	5	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	58	84	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6160	6	0	17	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	68	113	0	0	0	2	0	1
