Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	21328	-	0	0	0	0	0	0	12	81	0	0	0	0	0	0	0	1	0	0	91	144	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4008	25	0	8	0	0	0	0	0	82	0	0	0	0	0	1	0	0	0	0	55	863	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1809	19	0	42	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	47	178	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	2800	19	0	39	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	38	145	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5478	21	0	18	1	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	54	152	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9415	23	0	21	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	116	181	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3674	20	0	14	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	43	80	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3241	21	0	15	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	39	69	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5020	20	0	22	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	69	87	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8518	23	0	21	0	0	0	0	0	57	0	0	0	0	0	0	0	1	0	0	82	122	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3816	20	0	17	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	55	83	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4822	21	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	49	97	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5802	11	0	17	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	56	78	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	4549	6	0	19	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	60	78	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	28463	13	0	56	0	0	0	0	0	46	0	0	0	0	0	0	0	1	0	0	222	198	0	0	0	9	1	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9560	8	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	96	104	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-EHDSDosage.json	11402	8	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	104	125	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	11061	9	0	18	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	120	213	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6291	7	0	16	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	55	112	0	0	0	2	0	1
