Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	23793	-	0	0	0	0	0	0	13	89	0	0	0	0	0	0	0	1	0	0	95	142	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4192	7	0	8	1	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	53	676	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5183	4	0	34	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	64	266	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlertFlag.json	5958	7	0	13	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	62	169	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10472	7	0	20	0	0	0	0	0	24	0	0	1	0	0	0	0	0	0	0	95	195	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAppointment.json	5175	5	0	16	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	48	127	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3912	4	0	15	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	37	83	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3856	5	0	15	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	47	85	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4724	6	0	16	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	48	82	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8660	7	0	17	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	87	137	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSConditionHdr.json	2286	4	0	19	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	36	141	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3904	6	0	15	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	40	71	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	6051	7	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	63	97	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5152	6	0	15	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	48	87	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5677	6	0	16	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	68	113	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	2873	5	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	33	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReportBody.json	83857	28	0	31	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	568	789	0	0	0	30	0	2
fsh-generated/resources/StructureDefinition-EHDSDischargeReportHeader.json	3164	6	0	24	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	43	183	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDispenseDecline.json	3071	4	0	5	1	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	36	96	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9538	7	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	88	150	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2754	5	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	36	67	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18269	10	0	8	0	0	0	0	0	25	0	0	1	0	0	0	0	0	0	0	177	186	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12926	8	0	7	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	99	142	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6033	6	0	6	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	58	108	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4556	5	0	3	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	39	69	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFamilyMemberHistory.json	4172	5	0	4	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	43	78	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	6416	5	0	7	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	63	120	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSGroup.json	914	4	0	2	1	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	17	45	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	5454	5	0	3	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	47	72	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3223	5	0	3	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	36	63	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	3624	4	0	3	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	38	57	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReportBody.json	22816	11	0	11	0	0	0	0	0	34	1	0	0	0	0	0	0	0	0	0	175	193	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReportHeader.json	14727	7	0	7	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	112	214	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	16925	9	0	7	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	133	163	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSImmunization.json	6500	6	0	29	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	62	88	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSInpatientEncounter.json	2078	4	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	48	108	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	3454	5	0	31	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	67	153	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryOrder.json	2910	4	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	37	58	0	1	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryOrderBody.json	11641	6	0	7	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	91	155	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryOrderHeader.json	14171	8	0	8	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	109	156	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	2982	4	0	2	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	34	57	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReportBody.json	11216	6	0	8	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	90	98	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReportHeader.json	3434	5	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	48	125	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	4027	5	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	37	69	0	0	0	2	1	1
fsh-generated/resources/StructureDefinition-EHDSMedia.json	6504	5	0	4	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	61	103	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	15927	7	0	8	0	0	0	0	0	34	0	0	0	0	0	0	0	1	0	0	142	176	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	5527	6	0	3	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	65	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	6865	4	0	6	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	69	65	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	18522	8	0	15	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	170	100	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationStatement.json	5615	5	0	5	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	54	50	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	14934	5	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	149	146	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSOrganization.json	3789	4	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	50	42	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	5545	5	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	49	52	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientAnimal.json	5065	5	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	52	52	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSPatientSummary.json	1054	4	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	23	27	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSProcedure.json	7172	5	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	71	69	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSRelatedPerson.json	4218	5	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	38	40	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSServiceRequest.json	8650	6	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	69	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSSpecimen.json	7728	6	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	64	68	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstance.json	3976	5	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	40	44	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSTelecom.json	2293	5	0	3	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	28	38	0	0	0	0	0	0
