"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSAllergyIntolerance","EHDSAllergyIntolerance","","","",0,*,"","","","null {[]} {[]}
","Allergy intolerance model","EHDS refined base model for allergy/intolerance","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSAllergyIntolerance.header","EHDSAllergyIntolerance.header","","","",1,*,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,*,"",""
"EHDSAllergyIntolerance.header.subject","EHDSAllergyIntolerance.header.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSAllergyIntolerance.header.identifier","EHDSAllergyIntolerance.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object","Business identifier for the object","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSAllergyIntolerance.header.authorship","EHDSAllergyIntolerance.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Authorship","Resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSAllergyIntolerance.header.authorship.author[x]","EHDSAllergyIntolerance.header.authorship.author[x]","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganization {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDevice {[]} {[]}","Author","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",1,1,"",""
"EHDSAllergyIntolerance.header.authorship.datetime","EHDSAllergyIntolerance.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of the issuing the document/resource by its author.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSAllergyIntolerance.header.lastUpdate","EHDSAllergyIntolerance.header.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource","Date and time of the last update to the document/information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.lastUpdate",0,1,"",""
"EHDSAllergyIntolerance.header.status","EHDSAllergyIntolerance.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource","Status of the resource","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSAllergyIntolerance.header.statusReason[x]","EHDSAllergyIntolerance.header.statusReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the current status of the resource.","Reason for the current status of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.statusReason[x]",0,1,"",""
"EHDSAllergyIntolerance.header.language","EHDSAllergyIntolerance.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSAllergyIntolerance.header.version","EHDSAllergyIntolerance.header.version","","","",0,1,"","","","string {[]} {[]}
","Version","Business version of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.version",0,1,"",""
"EHDSAllergyIntolerance.presentedForm","EHDSAllergyIntolerance.presentedForm","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAttachment {[]} {[]}
","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","","","","","","","","","",,,,,"",,,,"EHDSDataSet.presentedForm",0,*,"",""
"EHDSAllergyIntolerance.agentOrAllergen","EHDSAllergyIntolerance.agentOrAllergen","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Agent or allergen that causes the reaction","A specific allergen or other agent/substance (drug, food, chemical agent, etc.) to which the patient has an adverse reaction propensity.","","","","","","","","","",,"preferred","1.3.6.1.4.1.12559.11.10.1.3.1.42.24 **eHDSIActiveIngredient** (ATC, used in MH@EU); 1.3.6.1.4.1.12559.11.10.1.3.1.42.61 eHDSISubstance (EMA SMS, used in MH@EU); 1.3.6.1.4.1.12559.11.10.1.3.1.42.19 eHDSIAllergenNoDrug (SCT, used in MH@EU); ICD-11 Non-drug allergens","","",,,,"EHDSAllergyIntolerance.agentOrAllergen",1,1,"",""
"EHDSAllergyIntolerance.typeOfPropensity","EHDSAllergyIntolerance.typeOfPropensity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of propensity describes whether this condition refers to an allergy, non-allergy intolerance, or unknown class of intolerance (not known to be allergy or intolerance)","Type of propensity describes whether this condition refers to an allergy, non-allergy intolerance, or unknown class of intolerance (not known to be allergy or intolerance)","","","","","","","","","",,"preferred","1.3.6.1.4.1.12559.11.10.1.3.1.42.18 eHDSIAdverseEventType (SCT, used in MH@EU); http://hl7.org/fhir/ValueSet/allergy-intolerance-type (HL7, required in HL7 FHIR)","","",,,,"EHDSAllergyIntolerance.typeOfPropensity",0,1,"",""
"EHDSAllergyIntolerance.description","EHDSAllergyIntolerance.description","","","",0,1,"","","","string {[]} {[]}
","Textual description of the allergy or intolerance","Textual description of the allergy or intolerance","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.description",0,1,"",""
"EHDSAllergyIntolerance.criticality","EHDSAllergyIntolerance.criticality","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Potential risk for future life-threatening adverse reactions when exposed to a substance known to cause an adverse reaction.","Potential risk for future life-threatening adverse reactions when exposed to a substance known to cause an adverse reaction.","","","","","","","","","",,"preferred","1.3.6.1.4.1.12559.11.10.1.3.1.42.57 eHDSICriticality (HL7, used in MH@EU); http://hl7.org/fhir/ValueSet/allergy-intolerance-criticality (HL7, required in HL7 FHIR)","","",,,,"EHDSAllergyIntolerance.criticality",0,1,"",""
"EHDSAllergyIntolerance.certainty","EHDSAllergyIntolerance.certainty","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and/or clinical evidence of condition.","Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and/or clinical evidence of condition.","","","","","","","","","",,"preferred","1.3.6.1.4.1.12559.11.10.1.3.1.42.58 eHDSIAllergyCertainty (HL7, used in MH@EU) ; http://hl7.org/fhir/ValueSet/allergyintolerance-verification (HL7, required in HL7 FHIR)","","",,,,"EHDSAllergyIntolerance.certainty",0,1,"",""
"EHDSAllergyIntolerance.clinicalStatus","EHDSAllergyIntolerance.clinicalStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Clinical status of the allergy or intolerance (e.g. active, inactive, resolved)","Clinical status of the allergy or intolerance (e.g. active, inactive, resolved)","","","","","","","","","",,"preferred","1.3.6.1.4.1.12559.11.10.1.3.1.42.59 eHDSIAllergyStatus (HL7, used in MH@EU); http://hl7.org/fhir/ValueSet/allergyintolerance-clinical (HL7, required in HL7 FHIR)","","",,,,"EHDSAllergyIntolerance.clinicalStatus",0,1,"",""
"EHDSAllergyIntolerance.onsetDate","EHDSAllergyIntolerance.onsetDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date of onset of allergy, e.g., date of the first observation of the reaction. Partial date could be used.","Date of onset of allergy, e.g., date of the first observation of the reaction. Partial date could be used.","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.onsetDate",0,1,"",""
"EHDSAllergyIntolerance.endDate","EHDSAllergyIntolerance.endDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition)","Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition)","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.endDate",0,1,"",""
"EHDSAllergyIntolerance.reaction","EHDSAllergyIntolerance.reaction","","","",0,*,"","","","Base {[]} {[]}
","Description of the clinical manifestation of the allergic reaction including date of manifestation and severity. Example: anaphylactic shock, angioedema (the clinical manifestation also gives information about the severity of the observed reaction).","Description of the clinical manifestation of the allergic reaction including date of manifestation and severity. Example: anaphylactic shock, angioedema (the clinical manifestation also gives information about the severity of the observed reaction).","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.reaction",0,*,"",""
"EHDSAllergyIntolerance.reaction.manifestation","EHDSAllergyIntolerance.reaction.manifestation","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Clinical symptoms/signs associated with the event","Clinical symptoms/signs associated with the event","","","","","","","","","",,"preferred","1.3.6.1.4.1.12559.11.10.1.3.1.42.5 eHDSIIllnessandDisorder (ICD-10, alternative in MH@EU); 1.3.6.1.4.1.12559.11.10.1.3.1.42.11 eHDSIReactionAllergy (SCT, alternative in MH@EU); ICD-11","","",,,,"EHDSAllergyIntolerance.reaction.manifestation",0,*,"",""
"EHDSAllergyIntolerance.reaction.date","EHDSAllergyIntolerance.reaction.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of allergy manifestation","Date and time of allergy manifestation","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.reaction.date",0,1,"",""
"EHDSAllergyIntolerance.reaction.severity","EHDSAllergyIntolerance.reaction.severity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Severity of the clinical manifestation of the allergic reaction.","Severity of the clinical manifestation of the allergic reaction.","","","","","","","","","",,"preferred","1.3.6.1.4.1.12559.11.10.1.3.1.42.13 eHDSISeverity (SCT, used in MH@EU); http://hl7.org/fhir/ValueSet/reaction-event-severity (HL7, Required in HL7 FHIR)","","",,,,"EHDSAllergyIntolerance.reaction.severity",0,1,"",""
"EHDSAllergyIntolerance.reaction.description","EHDSAllergyIntolerance.reaction.description","","","",0,1,"","","","string {[]} {[]}
","Description of the event as a whole","Description of the event as a whole","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.reaction.description",0,1,"",""
"EHDSAllergyIntolerance.reaction.onsetDate","EHDSAllergyIntolerance.reaction.onsetDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date of the observation of the reaction","Date of the observation of the reaction","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.reaction.onsetDate",0,1,"",""
