"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSPSAllergyIntolerance","EHDSPSAllergyIntolerance","","","",0,*,"","","","null {[]} {[]}
","Allergy intolerance model","EHDS refined base model for allergy/intolerance","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSPSAllergyIntolerance.header","EHDSPSAllergyIntolerance.header","","","",1,*,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,*,"",""
"EHDSPSAllergyIntolerance.header.subject","EHDSPSAllergyIntolerance.header.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSPSAllergyIntolerance.header.identifier","EHDSPSAllergyIntolerance.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object","Business identifier for the object","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSPSAllergyIntolerance.header.authorship","EHDSPSAllergyIntolerance.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Authorship","Resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSPSAllergyIntolerance.header.authorship.author[x]","EHDSPSAllergyIntolerance.header.authorship.author[x]","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganization {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDevice {[]} {[]}","Author","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",1,1,"",""
"EHDSPSAllergyIntolerance.header.authorship.datetime","EHDSPSAllergyIntolerance.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of the issuing the document/resource by its author.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSPSAllergyIntolerance.header.lastUpdate","EHDSPSAllergyIntolerance.header.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource","Date and time of the last update to the document/information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.lastUpdate",0,1,"",""
"EHDSPSAllergyIntolerance.header.status","EHDSPSAllergyIntolerance.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource","Status of the resource","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSPSAllergyIntolerance.header.statusReason[x]","EHDSPSAllergyIntolerance.header.statusReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the current status of the resource.","Reason for the current status of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.statusReason[x]",0,1,"",""
"EHDSPSAllergyIntolerance.header.language","EHDSPSAllergyIntolerance.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSPSAllergyIntolerance.header.version","EHDSPSAllergyIntolerance.header.version","","","",0,1,"","","","string {[]} {[]}
","Version","Business version of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.version",0,1,"",""
"EHDSPSAllergyIntolerance.presentedForm","EHDSPSAllergyIntolerance.presentedForm","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAttachment {[]} {[]}
","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","","","","","","","","","",,,,,"",,,,"EHDSDataSet.presentedForm",0,*,"",""
"EHDSPSAllergyIntolerance.agentOrAllergen","EHDSPSAllergyIntolerance.agentOrAllergen","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Agent or allergen that causes the reaction","A specific allergen or other agent/substance (drug, food, chemical agent, etc.) to which the patient has an adverse reaction propensity.","","","","","","","","","",,"preferred","1.3.6.1.4.1.12559.11.10.1.3.1.42.24 **eHDSIActiveIngredient** (ATC, used in MH@EU); 1.3.6.1.4.1.12559.11.10.1.3.1.42.61 eHDSISubstance (EMA SMS, used in MH@EU); 1.3.6.1.4.1.12559.11.10.1.3.1.42.19 eHDSIAllergenNoDrug (SCT, used in MH@EU); ICD-11 Non-drug allergens","","",,,,"EHDSPSAllergyIntolerance.agentOrAllergen",1,1,"",""
"EHDSPSAllergyIntolerance.typeOfPropensity","EHDSPSAllergyIntolerance.typeOfPropensity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of propensity describes whether this condition refers to an allergy, non-allergy intolerance, or unknown class of intolerance (not known to be allergy or intolerance)","Type of propensity describes whether this condition refers to an allergy, non-allergy intolerance, or unknown class of intolerance (not known to be allergy or intolerance)","","","","","","","","","",,"preferred","1.3.6.1.4.1.12559.11.10.1.3.1.42.18 eHDSIAdverseEventType (SCT, used in MH@EU); http://hl7.org/fhir/ValueSet/allergy-intolerance-type (HL7, required in HL7 FHIR)","","",,,,"EHDSPSAllergyIntolerance.typeOfPropensity",0,1,"",""
"EHDSPSAllergyIntolerance.description","EHDSPSAllergyIntolerance.description","","","",0,1,"","","","string {[]} {[]}
","Textual description of the allergy or intolerance","Textual description of the allergy or intolerance","","","","","","","","","",,,,,"",,,,"EHDSPSAllergyIntolerance.description",0,1,"",""
"EHDSPSAllergyIntolerance.criticality","EHDSPSAllergyIntolerance.criticality","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Potential risk for future life-threatening adverse reactions when exposed to a substance known to cause an adverse reaction.","Potential risk for future life-threatening adverse reactions when exposed to a substance known to cause an adverse reaction.","","","","","","","","","",,"preferred","1.3.6.1.4.1.12559.11.10.1.3.1.42.57 eHDSICriticality (HL7, used in MH@EU); http://hl7.org/fhir/ValueSet/allergy-intolerance-criticality (HL7, required in HL7 FHIR)","","",,,,"EHDSPSAllergyIntolerance.criticality",0,1,"",""
"EHDSPSAllergyIntolerance.certainty","EHDSPSAllergyIntolerance.certainty","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and/or clinical evidence of condition.","Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and/or clinical evidence of condition.","","","","","","","","","",,"preferred","1.3.6.1.4.1.12559.11.10.1.3.1.42.58 eHDSIAllergyCertainty (HL7, used in MH@EU) ; http://hl7.org/fhir/ValueSet/allergyintolerance-verification (HL7, required in HL7 FHIR)","","",,,,"EHDSPSAllergyIntolerance.certainty",0,1,"",""
"EHDSPSAllergyIntolerance.clinicalStatus","EHDSPSAllergyIntolerance.clinicalStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Clinical status of the allergy or intolerance (e.g. active, inactive, resolved)","Clinical status of the allergy or intolerance (e.g. active, inactive, resolved)","","","","","","","","","",,"preferred","1.3.6.1.4.1.12559.11.10.1.3.1.42.59 eHDSIAllergyStatus (HL7, used in MH@EU); http://hl7.org/fhir/ValueSet/allergyintolerance-clinical (HL7, required in HL7 FHIR)","","",,,,"EHDSPSAllergyIntolerance.clinicalStatus",0,1,"",""
"EHDSPSAllergyIntolerance.onsetDate","EHDSPSAllergyIntolerance.onsetDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date of onset of allergy, e.g., date of the first observation of the reaction. Partial date could be used.","Date of onset of allergy, e.g., date of the first observation of the reaction. Partial date could be used.","","","","","","","","","",,,,,"",,,,"EHDSPSAllergyIntolerance.onsetDate",0,1,"",""
"EHDSPSAllergyIntolerance.endDate","EHDSPSAllergyIntolerance.endDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition)","Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition)","","","","","","","","","",,,,,"",,,,"EHDSPSAllergyIntolerance.endDate",0,1,"",""
"EHDSPSAllergyIntolerance.reaction","EHDSPSAllergyIntolerance.reaction","","","",0,*,"","","","Base {[]} {[]}
","Description of the clinical manifestation of the allergic reaction including date of manifestation and severity. Example: anaphylactic shock, angioedema (the clinical manifestation also gives information about the severity of the observed reaction).","Description of the clinical manifestation of the allergic reaction including date of manifestation and severity. Example: anaphylactic shock, angioedema (the clinical manifestation also gives information about the severity of the observed reaction).","","","","","","","","","",,,,,"",,,,"EHDSPSAllergyIntolerance.reaction",0,*,"",""
"EHDSPSAllergyIntolerance.reaction.manifestation","EHDSPSAllergyIntolerance.reaction.manifestation","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Clinical symptoms/signs associated with the event","Clinical symptoms/signs associated with the event","","","","","","","","","",,"preferred","1.3.6.1.4.1.12559.11.10.1.3.1.42.5 eHDSIIllnessandDisorder (ICD-10, alternative in MH@EU); 1.3.6.1.4.1.12559.11.10.1.3.1.42.11 eHDSIReactionAllergy (SCT, alternative in MH@EU); ICD-11","","",,,,"EHDSPSAllergyIntolerance.reaction.manifestation",0,*,"",""
"EHDSPSAllergyIntolerance.reaction.date","EHDSPSAllergyIntolerance.reaction.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of allergy manifestation","Date and time of allergy manifestation","","","","","","","","","",,,,,"",,,,"EHDSPSAllergyIntolerance.reaction.date",0,1,"",""
