Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	23623	-	0	0	0	0	0	0	3	74	0	0	0	0	0	0	0	1	0	0	92	159	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-ANY.json	892	6	0	7	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	27	770	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Coded.json	1123	6	0	8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	36	159	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4192	6	0	9	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	47	152	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlertFlag.json	6053	4	0	12	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	63	167	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10472	5	0	14	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	89	181	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAppointment.json	5175	6	0	13	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	54	96	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3912	5	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	40	107	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3856	2	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	47	86	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4724	3	0	9	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	48	81	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8660	4	0	11	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	96	128	0	0	0	3	0	0
