"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSLaboratoryReportHeader","EHDSLaboratoryReportHeader","","","",0,*,"","","","null {[]} {[]}
","Laboratory report header model","A.1 - EHDS refined base model for Report header data elements","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSLaboratoryReportHeader.subject","EHDSLaboratoryReportHeader.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","A.1.1 - Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportHeader.subject",1,1,"",""
"EHDSLaboratoryReportHeader.healthInsuranceAndPaymentInformation","EHDSLaboratoryReportHeader.healthInsuranceAndPaymentInformation","","","",0,1,"","","","Base {[]} {[]}
","A.1.4 - Health insurance and payment information","Health insurance information (Health insurance information is not always required, however, in some jurisdictions, the insurance number is also used as the patient identifier. It is necessary not just for identification but also forms access to funding for care.)","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportHeader.healthInsuranceAndPaymentInformation",0,1,"",""
"EHDSLaboratoryReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceCode","EHDSLaboratoryReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceCode","","","",0,1,"","","","Identifier {[]} {[]}
","A.1.4.1 - Health insurance code","Unique health insurance company identification code","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceCode",0,1,"",""
"EHDSLaboratoryReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceName","EHDSLaboratoryReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceName","","","",0,1,"","","","string {[]} {[]}
","A.1.4.2 - Health insurance name","Full, official name of the healthcare insurance provider.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceName",0,1,"",""
"EHDSLaboratoryReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceNumber","EHDSLaboratoryReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceNumber","","","",0,1,"","","","Identifier {[]} {[]}
","A.1.4.3 - Health insurance number","Number or code under which the insured person is registered at the insurance provider.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceNumber",0,1,"",""
"EHDSLaboratoryReportHeader.intendedRecipient","EHDSLaboratoryReportHeader.intendedRecipient","","","",0,*,"","","","Reference {[]} {[CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSRelatedPerson], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganization], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDevice]]}
","A.1.5 - Intended recipient","Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportHeader.intendedRecipient",0,*,"",""
"EHDSLaboratoryReportHeader.authorship","EHDSLaboratoryReportHeader.authorship","","","",1,*,"","","","Base {[]} {[]}
","A.1.6 - Authorship","Information about author or authors of the document","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportHeader.authorship",1,*,"",""
"EHDSLaboratoryReportHeader.authorship.author","EHDSLaboratoryReportHeader.authorship.author","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","A.1.6.1 - Author","Author by whom the document was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportHeader.authorship.author",1,1,"",""
"EHDSLaboratoryReportHeader.authorship.datetime","EHDSLaboratoryReportHeader.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","A.1.6.2 - DateTime","Date and time of the last modification of the document by its Author.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportHeader.authorship.datetime",1,1,"",""
"EHDSLaboratoryReportHeader.attestation","EHDSLaboratoryReportHeader.attestation","","","",0,*,"","","","Base {[]} {[]}
","A.1.7 - Attestation","Document attestation details","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportHeader.attestation",0,*,"",""
"EHDSLaboratoryReportHeader.attestation.attester","EHDSLaboratoryReportHeader.attestation.attester","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","A.1.7.1 - Attester","Attester who validated the document. Mulitple attesters could be provided.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportHeader.attestation.attester",1,1,"",""
"EHDSLaboratoryReportHeader.attestation.datetime","EHDSLaboratoryReportHeader.attestation.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","A.1.7.2 - DateTime","Date and time of the approval of the document by Attester.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportHeader.attestation.datetime",1,1,"",""
"EHDSLaboratoryReportHeader.legalAuthentication","EHDSLaboratoryReportHeader.legalAuthentication","","","",0,1,"","","","Base {[]} {[]}
","A.1.8 - Legal authentication","Document legal authentication","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportHeader.legalAuthentication",0,1,"",""
"EHDSLaboratoryReportHeader.legalAuthentication.legalAuthenticator","EHDSLaboratoryReportHeader.legalAuthentication.legalAuthenticator","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","A.1.8.1 - Legal authenticator","The person taking responsibility for the medical content of the document","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportHeader.legalAuthentication.legalAuthenticator",1,1,"",""
