Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	23623	-	0	0	0	0	0	0	3	81	0	0	0	0	0	0	0	0	0	0	88	146	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-ANY.json	892	6	0	9	0	0	1	1	0	27	0	0	1	0	0	1	0	0	0	0	25	706	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Coded.json	1123	4	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	30	147	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4192	6	0	16	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	61	142	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlertFlag.json	6053	6	0	19	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	54	97	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10472	7	0	19	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	84	125	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSAppointment.json	5175	4	0	16	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	50	82	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3912	5	0	15	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	41	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3856	4	0	14	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	47	70	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4724	4	0	15	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	48	66	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8660	6	0	18	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	84	102	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSConditionHdr.json	2318	3	0	21	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	39	82	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3904	5	0	15	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	42	56	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	6051	4	0	17	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	64	74	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5094	5	0	17	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	53	60	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	6287	5	0	17	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	64	63	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDispenseDecline.json	3071	3	0	18	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	41	66	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9565	6	0	21	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	93	161	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2822	4	0	11	1	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	50	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18269	9	0	23	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	159	213	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	13211	7	0	22	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	102	192	0	0	0	4	1	1
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6163	5	0	16	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	61	128	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4646	4	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	42	93	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFamilyMemberHistory.json	4249	4	0	3	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	46	92	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	5156	3	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	59	84	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSGroup.json	914	3	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	49	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	5454	3	0	4	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	48	75	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHospitalDischargeReport.json	3161	4	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	35	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHospitalDischargeReportBody.json	86117	23	0	31	0	0	0	0	0	168	0	0	0	0	0	0	0	1	0	0	582	547	0	0	0	19	0	0
fsh-generated/resources/StructureDefinition-EHDSHospitalDischargeReportHeader.json	18062	7	0	13	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	134	164	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3291	2	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	37	69	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	3624	2	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	40	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReportBody.json	22816	6	0	14	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	197	189	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReportHeader.json	14754	6	0	10	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	119	145	0	0	0	4	0	0
