Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	30514	-	0	0	0	0	0	0	12	77	0	0	0	0	0	0	0	1	0	0	114	142	0	0	0	5	0	2
fsh-generated/resources/ActorDefinition-actor-consumer.json	199	6	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-actor-producer.json	199	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4008	6	0	8	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	62	752	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1809	4	0	24	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	54	117	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	2800	4	0	19	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	51	98	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirectiveObligations.json	5225	7	0	13	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	69	140	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5478	7	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	64	95	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlertObligations.json	3860	7	0	8	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	67	112	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9415	6	0	12	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	90	115	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntoleranceObligations.json	5882	6	0	11	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	82	138	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3674	4	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	43	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3241	4	0	12	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	36	63	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5020	5	0	13	1	0	0	1	0	12	0	0	1	0	0	0	0	1	0	0	70	88	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8518	6	0	15	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	84	115	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSConditionObligations.json	5046	4	0	13	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	69	129	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3816	5	0	13	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	50	72	0	0	0	1	0	0
