"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSDeviceUse","EHDSDeviceUse","","","",0,*,"","","","null {[]} {[]}
","Device model","EHDS refined base model for Device information","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSDeviceUse.header","EHDSDeviceUse.header","","","",1,*,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,*,"",""
"EHDSDeviceUse.header.subject","EHDSDeviceUse.header.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSDeviceUse.header.identifier","EHDSDeviceUse.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object","Business identifier for the object","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSDeviceUse.header.authorship","EHDSDeviceUse.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Authorship","Resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSDeviceUse.header.authorship.author[x]","EHDSDeviceUse.header.authorship.author[x]","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganization {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDevice {[]} {[]}","Author","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",1,1,"",""
"EHDSDeviceUse.header.authorship.datetime","EHDSDeviceUse.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of the issuing the document/resource by its author.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSDeviceUse.header.lastUpdate","EHDSDeviceUse.header.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource","Date and time of the last update to the document/information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.lastUpdate",0,1,"",""
"EHDSDeviceUse.header.status","EHDSDeviceUse.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource","Status of the resource","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSDeviceUse.header.statusReason[x]","EHDSDeviceUse.header.statusReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the current status of the resource.","Reason for the current status of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.statusReason[x]",0,1,"",""
"EHDSDeviceUse.header.language","EHDSDeviceUse.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSDeviceUse.header.version","EHDSDeviceUse.header.version","","","",0,1,"","","","string {[]} {[]}
","Version","Business version of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.version",0,1,"",""
"EHDSDeviceUse.presentedForm","EHDSDeviceUse.presentedForm","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAttachment {[]} {[]}
","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","","","","","","","","","",,,,,"",,,,"EHDSDataSet.presentedForm",0,*,"",""
"EHDSDeviceUse.deviceDescription","EHDSDeviceUse.deviceDescription","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Describes the type of device. Coded values are preferable, but text would be accepted","Describes the type of device. Coded values are preferable, but text would be accepted","","eHN PS Guideline, ISO IPS.","","","","","","","",,"preferred","1.3.6.1.4.1.12559.11.10.1.3.1.42.8 eHDSIMedicalDevice","","",,,,"EHDSDeviceUse.deviceDescription",1,1,"",""
"EHDSDeviceUse.deviceID","EHDSDeviceUse.deviceID","","","",0,1,"","","","Identifier {[]} {[]}
","Normalised identifier of the device instance such as UDI according to REGULATION (EU) 2017/745","Normalised identifier of the device instance such as UDI according to REGULATION (EU) 2017/745","","eHN PS Guideline, ISO IPS.","","","","","","","",,,,,"",,,,"EHDSDeviceUse.deviceID",0,1,"",""
"EHDSDeviceUse.startDate","EHDSDeviceUse.startDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date when the device was implantable to the patient or the external device was first in use.","Date when the device was implantable to the patient or the external device was first in use.","","eHN PS Guideline, ISO IPS.","","","","","","","",,,,,"",,,,"EHDSDeviceUse.startDate",0,1,"",""
"EHDSDeviceUse.endDate","EHDSDeviceUse.endDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date when the device was explanted from the patient or the external device was no longer in use.","Date when the device was explanted from the patient or the external device was no longer in use.","","eHN PS Guideline, ISO IPS.","","","","","","","",,,,,"",,,,"EHDSDeviceUse.endDate",0,1,"",""
