Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	13492	-	0	0	0	0	0	0	10	73	0	0	0	0	0	0	0	1	0	0	70	116	0	0	0	2	0	0
fsh-generated/resources/ActorDefinition-SummaryConsumer.json	138	17	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-SummaryProvider.json	138	15	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4192	13	0	13	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	63	866	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5980	6	0	52	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	64	265	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3912	5	0	17	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	39	116	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	7117	6	0	21	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	60	233	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	6051	5	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	64	128	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5094	5	0	15	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	50	104	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	3323	4	0	24	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	41	105	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDispenseDecline.json	3071	3	0	20	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	46	102	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9565	4	0	22	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	95	164	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18269	7	0	24	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	170	218	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	5454	3	0	15	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	44	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3325	2	0	15	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	36	51	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunization.json	5040	4	0	18	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	55	79	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	2586	3	0	14	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	38	39	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSMedication.json	15785	5	0	24	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	148	149	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	6865	3	0	19	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	81	81	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	18522	7	0	30	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	209	140	0	0	0	8	1	0
