Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	23205	-	0	0	0	0	0	0	12	84	0	0	0	0	0	0	0	0	0	0	88	158	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4192	9	0	11	1	0	0	0	0	43	0	0	1	0	0	0	0	0	0	0	54	845	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5183	3	0	41	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	66	236	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	4142	4	0	19	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	53	154	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10789	5	0	23	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	83	201	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAppointment.json	5175	5	0	16	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	47	97	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3912	4	0	15	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	40	87	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3856	3	0	15	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	38	90	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4218	4	0	18	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	53	115	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9596	4	0	14	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	76	219	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3904	2	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	40	80	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3652	3	0	17	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	39	110	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	6051	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	64	106	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5152	3	0	18	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	46	92	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5677	2	0	20	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	70	118	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	74009	16	0	89	0	0	0	0	0	128	0	0	0	0	0	0	0	1	0	0	572	786	0	0	0	20	0	1
fsh-generated/resources/StructureDefinition-EHDSDispenseDecline.json	3071	4	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	51	104	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9538	4	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	121	152	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2754	2	0	5	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	48	70	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18269	5	0	14	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	176	133	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12444	4	0	13	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	121	110	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6033	4	0	7	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	54	66	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4616	2	0	8	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	59	113	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSFamilyMemberHistory.json	3904	3	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	49	74	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	6416	3	0	10	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	64	82	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	5454	2	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	43	54	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3223	3	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	32	50	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	30851	5	0	31	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	0	257	255	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	15073	4	0	13	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	114	153	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	4820	3	0	10	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	52	74	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSInfectiousContact.json	4007	2	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	50	65	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	3454	2	0	28	0	0	0	0	0	12	0	0	1	0	0	0	0	1	0	0	59	172	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryOrder.json	2910	3	0	4	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	32	59	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryOrderBody.json	14118	3	0	8	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	107	84	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryOrderHeader.json	14171	4	0	10	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	107	138	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	2982	2	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	33	41	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReportBody.json	11295	3	0	7	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	97	76	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReportHeader.json	3427	3	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	58	84	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	4027	2	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	37	49	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedia.json	6504	3	0	6	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	59	75	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	15939	3	0	10	0	0	0	0	0	52	0	0	0	0	0	0	0	1	0	0	145	126	0	1	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	4479	3	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	58	63	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	6865	3	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	76	75	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	18522	4	0	10	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	167	112	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationStatement.json	5417	3	0	7	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	47	66	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	17090	3	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	173	126	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-EHDSOrganisation.json	3789	3	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	34	84	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	5319	2	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	44	89	0	0	0	1	0	0
