Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	21411	-	0	0	0	0	0	0	7	63	0	0	0	0	0	0	0	1	0	0	91	123	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	11	0	10	1	0	1	0	0	62	0	0	1	0	0	0	0	0	0	0	55	958	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5111	6	0	36	0	0	0	0	0	21	1	0	0	0	0	0	0	0	0	0	58	185	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	4115	6	0	18	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	49	146	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10762	8	0	22	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	83	205	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	6	0	14	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	40	85	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3838	6	0	15	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	43	116	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4191	5	0	18	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	61	86	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9542	7	0	13	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	91	136	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	6	0	8	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	41	54	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3625	6	0	10	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	41	93	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	5419	6	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	59	69	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5134	6	0	10	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	48	68	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5578	6	0	17	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	69	87	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	73463	23	0	73	0	0	0	0	0	82	0	0	1	0	0	0	0	1	0	0	544	842	0	0	0	21	0	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9699	8	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	93	145	0	0	0	3	1	0
