"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSLaboratoryOrderBody","EHDSLaboratoryOrderBody","","","",0,*,"","","","null {[]} {[]}
","Laboratory order body model","B.1 - EHDS refined base model for Laboratory order body","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSLaboratoryOrderBody.orderInformation","EHDSLaboratoryOrderBody.orderInformation","","","",0,*,"","","","Base {[]} {[]}
","Order Information","Order Information","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.orderInformation",0,*,"",""
"EHDSLaboratoryOrderBody.orderInformation.orderId","EHDSLaboratoryOrderBody.orderInformation.orderId","","","",1,*,"","","","Identifier {[]} {[]}
","An identifier of the laboratory test order.","An identifier of the laboratory test order.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.orderInformation.orderId",1,*,"",""
"EHDSLaboratoryOrderBody.orderInformation.orderDateAndTime","EHDSLaboratoryOrderBody.orderInformation.orderDateAndTime","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the order placement.","Date and time of the order placement.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.orderInformation.orderDateAndTime",0,1,"",""
"EHDSLaboratoryOrderBody.orderInformation.orderText","EHDSLaboratoryOrderBody.orderInformation.orderText","","","",0,1,"","","","string {[]} {[]}
","A verbal description of the order or any supplementary requirements specific to each type of order, if they cannot be expressed formally.","A verbal description of the order or any supplementary requirements specific to each type of order, if they cannot be expressed formally.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.orderInformation.orderText",0,1,"",""
"EHDSLaboratoryOrderBody.orderInformation.orderPlacer[x]","EHDSLaboratoryOrderBody.orderInformation.orderPlacer[x]","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganisation {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}","The person/organisation ""authorised"" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself.","The person/organisation ""authorised"" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.orderInformation.orderPlacer[x]",0,1,"",""
"EHDSLaboratoryOrderBody.orderInformation.orderReasonText","EHDSLaboratoryOrderBody.orderInformation.orderReasonText","","","",0,*,"","","","string {[]} {[]}
","An explanation or justification for why this service is being requested in textual form.","An explanation or justification for why this service is being requested in textual form.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.orderInformation.orderReasonText",0,*,"",""
"EHDSLaboratoryOrderBody.orderInformation.orderReason[x]","EHDSLaboratoryOrderBody.orderInformation.orderReason[x]","","","",0,*,"","","","CodeableConcept {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSObservation {[]} {[]}","An explanation or justification for why this service is being requested in coded or structured form.","An explanation or justification for why this service is being requested in coded or structured form.","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSLaboratoryOrderBody.orderInformation.orderReason[x]",0,*,"",""
"EHDSLaboratoryOrderBody.orderInformation.clinicalQuestion","EHDSLaboratoryOrderBody.orderInformation.clinicalQuestion","","","",0,1,"","","","string {[]} {[]}
","Specification of clinical question (goal of the investigation) to be answered by the laboratory investigation.","Specification of clinical question (goal of the investigation) to be answered by the laboratory investigation.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.orderInformation.clinicalQuestion",0,1,"",""
"EHDSLaboratoryOrderBody.encounter","EHDSLaboratoryOrderBody.encounter","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSEncounter]]}
","An encounter that provides additional information about the healthcare context in which this order is made.","An encounter that provides additional information about the healthcare context in which this order is made.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.encounter",0,1,"",""
"EHDSLaboratoryOrderBody.supportingInformation","EHDSLaboratoryOrderBody.supportingInformation","","","",0,1,"","","","Base {[]} {[]}
","Additional clinical information about the patient or specimen that may influence the services or their interpretations. This information includes diagnosis, clinical findings and other observations. In laboratory ordering these are typically referred to as 'ask at order entry questions (AOEs).' This includes observations explicitly requested by the producer (filler) to provide context or supporting information needed to complete the order. For example, reporting the amount of inspired oxygen for blood gas measurements.","Additional clinical information about the patient or specimen that may influence the services or their interpretations. This information includes diagnosis, clinical findings and other observations. In laboratory ordering these are typically referred to as 'ask at order entry questions (AOEs).' This includes observations explicitly requested by the producer (filler) to provide context or supporting information needed to complete the order. For example, reporting the amount of inspired oxygen for blood gas measurements.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.supportingInformation",0,1,"",""
"EHDSLaboratoryOrderBody.supportingInformation.observation","EHDSLaboratoryOrderBody.supportingInformation.observation","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSObservation {[]} {[]}
","Clinical findings and other observations.","Clinical findings and other observations.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.supportingInformation.observation",0,*,"",""
"EHDSLaboratoryOrderBody.supportingInformation.condition","EHDSLaboratoryOrderBody.supportingInformation.condition","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition {[]} {[]}
","Condition that may influence the service or result interpretation.","Condition that may influence the service or result interpretation.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.supportingInformation.condition",0,*,"",""
"EHDSLaboratoryOrderBody.supportingInformation.medicationAdministration","EHDSLaboratoryOrderBody.supportingInformation.medicationAdministration","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedicationAdministration {[]} {[]}
","Medication administered before ordering the service.","Medication administered before ordering the service.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryOrderBody.supportingInformation.medicationAdministration",0,*,"",""
