"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSLaboratoryObservation","EHDSLaboratoryObservation","","","",0,*,"","","","null {[]} {[]}
","Laboratory observation model","Model for observation performed by laboratory","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSLaboratoryObservation.header","EHDSLaboratoryObservation.header","","","",1,1,"","","","Base {[]} {[]}
","Basic metadata for this information","Basic metadata for this information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSLaboratoryObservation.header.subject","EHDSLaboratoryObservation.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient who is receiving health care. This patient might be different from the direct subject of the observation.","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSLaboratoryObservation.header.identifier","EHDSLaboratoryObservation.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSLaboratoryObservation.header.author[x]","EHDSLaboratoryObservation.header.author[x]","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Author(s) responsible for the provided information.","Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSLaboratoryObservation.header.date","EHDSLaboratoryObservation.header.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date and optionally time of authoring/issuing","Date and optionally time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSLaboratoryObservation.header.status","EHDSLaboratoryObservation.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource or document","Status of the resource or document","","","","","","","","","",,"preferred","HL7 Observation status","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSLaboratoryObservation.header.source","EHDSLaboratoryObservation.header.source","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.source",0,1,"",""
"EHDSLaboratoryObservation.header.language","EHDSLaboratoryObservation.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSLaboratoryObservation.header.directSubject[x]","EHDSLaboratoryObservation.header.directSubject[x]","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLocation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure {[]} {[]}","The direct subject of the observation if different from the patient (subject of care), e.g. an observation of an implanted device. Additional types of subject may be allowed in implementations.","The direct subject of the observation if different from the patient (subject of care), e.g. an observation of an implanted device. Additional types of subject may be allowed in implementations.","","","","","","","","","",,,,,"",,,,"EHDSObservation.header.directSubject[x]",0,1,"",""
"EHDSLaboratoryObservation.observationDate[x]","EHDSLaboratoryObservation.observationDate[x]","","","",1,1,"","","","dateTime {[]} {[]}
Period {[]} {[]}","Clinically relevant time or time period for the observation","Clinically relevant time or time period for the observation","","","","","","","","","",,,,,"",,,,"EHDSObservation.observationDate[x]",1,1,"",""
"EHDSLaboratoryObservation.type","EHDSLaboratoryObservation.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Observation type. Code and name representing the type of the observation using the agreed code systems.","Observation type. Code and name representing the type of the observation using the agreed code systems.","","","","","","","","","",,"preferred","LOINC, NPU","","",,,,"EHDSObservation.type",1,1,"",""
"EHDSLaboratoryObservation.originalName","EHDSLaboratoryObservation.originalName","","","",0,1,"","","","string {[]} {[]}
","Original (conventional) name of the observation as used in the local laboratory or clinical system.","Original (conventional) name of the observation as used in the local laboratory or clinical system.","","","","","","","","","",,,,,"",,,,"EHDSObservation.originalName",0,1,"",""
"EHDSLaboratoryObservation.method","EHDSLaboratoryObservation.method","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Observation method","Observation method (measurement principle) to obtain the result.","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSObservation.method",0,1,"",""
"EHDSLaboratoryObservation.specimen","EHDSLaboratoryObservation.specimen","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSSpecimen {[]} {[]}
","Specimen used for this observation.","Specimen used for this observation.","","","","","","","","","",,,,,"",,,,"EHDSObservation.specimen",0,1,"",""
"EHDSLaboratoryObservation.order","EHDSLaboratoryObservation.order","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSServiceRequest {[]} {[]}
","Identifies order and order placer this observation belongs to","Identifies order and order placer this observation belongs to","","","","","","","","","",,,,,"",,,,"EHDSObservation.order",0,1,"",""
"EHDSLaboratoryObservation.performer[x]","EHDSLaboratoryObservation.performer[x]","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSRelatedPerson {[]} {[]}","Performer of the observation. Some test could be performed by the patient himself or by a care giver. Those are in the scope of this deliverable under specified conditions.","Performer of the observation. Some test could be performed by the patient himself or by a care giver. Those are in the scope of this deliverable under specified conditions.","","","","","","","","","",,,,,"",,,,"EHDSObservation.performer[x]",0,*,"",""
"EHDSLaboratoryObservation.bodySite","EHDSLaboratoryObservation.bodySite","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure {[]} {[]}
","Anatomic location and laterality where the observation was performed.","Anatomic location and laterality where the observation was performed.","","","","","","","","","",,,,,"",,,,"EHDSObservation.bodySite",0,1,"",""
"EHDSLaboratoryObservation.result","EHDSLaboratoryObservation.result","","","",1,1,"","","","Base {[]} {[]}
","Result of the laboratory observation including text, numeric and coded results of the measurement and measurement uncertainty. Content of the observation result will vary according to the type of the observation.","Result of the observation including text, numeric, coded, and other types of results of the measurement and measurement uncertainty. Content of the observation result will vary according to the type of the observation.","","","","","","","","","",,,,,"",,,,"EHDSObservation.result",1,1,"",""
"EHDSLaboratoryObservation.result.value[x]","EHDSLaboratoryObservation.result.value[x]","","","",0,1,"","","","string {[]} {[]}
Quantity {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}CodeableConcept {[]} {[]}","Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.","Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.","","","","","","","","","",,"preferred","UCUM for units, SNOMED CT for coded results","","",,,,"EHDSObservation.result.value[x]",0,1,"",""
"EHDSLaboratoryObservation.result.uncertainty","EHDSLaboratoryObservation.result.uncertainty","","","",0,1,"","","","Base {[]} {[]}
","Measurement uncertainty type and interval if needed.","Measurement uncertainty information about the observation result.","","","","","","","","","",,,,,"",,,,"EHDSObservation.result.uncertainty",0,1,"",""
"EHDSLaboratoryObservation.result.uncertainty.value","EHDSLaboratoryObservation.result.uncertainty.value","","","",1,1,"","","","decimal {[]} {[]}
","The numerical value of the measurement uncertainty.","The numerical value of the measurement uncertainty.","","","","","","","","","",,,,,"",,,,"EHDSObservation.result.uncertainty.value",1,1,"",""
"EHDSLaboratoryObservation.result.uncertainty.type","EHDSLaboratoryObservation.result.uncertainty.type","","","",0,1,"","","","Coding {[]} {[]}
","Probability Distribution Type for uncertainty","Probability Distribution Type for uncertainty","","","","","","","","","",,"preferred","HL7 ProbabilityDistributionType","","",,,,"EHDSObservation.result.uncertainty.type",0,1,"",""
"EHDSLaboratoryObservation.result.dataAbsentReason","EHDSLaboratoryObservation.result.dataAbsentReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Provides a reason why the expected value in the element Observation.value[x] is missing.","Provides a reason why the expected value in the element Observation.value[x] is missing.","","","","","","","","","",,"preferred","HL7 Data absent reason","","",,,,"EHDSObservation.result.dataAbsentReason",0,1,"",""
"EHDSLaboratoryObservation.referenceRange","EHDSLaboratoryObservation.referenceRange","","","",0,*,"","","","Base {[]} {[]}
","Reference range, multiple reference ranges of different types could by provided. Provides guide for interpretation of the result.","Reference range, multiple reference ranges of different types could by provided. Provides guide for interpretation of the result.","Reference ranges are usually implied only for a numeric scale type. Use of the same units for reference range and value is implied.","","","","","","","","",,,,,"",,,,"EHDSObservation.referenceRange",0,*,"",""
"EHDSLaboratoryObservation.referenceRange.low","EHDSLaboratoryObservation.referenceRange.low","","","",0,1,"","","","Quantity {[]} {[]}
","Low limit of the reference range.","Low limit of the reference range.","","","","","","","","","",,"preferred","UCUM for units","","",,,,"EHDSObservation.referenceRange.low",0,1,"",""
"EHDSLaboratoryObservation.referenceRange.high","EHDSLaboratoryObservation.referenceRange.high","","","",0,1,"","","","Quantity {[]} {[]}
","High limit of the reference range.","High limit of the reference range.","","","","","","","","","",,"preferred","UCUM for units","","",,,,"EHDSObservation.referenceRange.high",0,1,"",""
"EHDSLaboratoryObservation.referenceRange.normalValue","EHDSLaboratoryObservation.referenceRange.normalValue","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Normal value, if relevant for the reference range.","Normal value, if relevant for the reference range.","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSObservation.referenceRange.normalValue",0,1,"",""
"EHDSLaboratoryObservation.referenceRange.type","EHDSLaboratoryObservation.referenceRange.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of reference range.","Type of reference range.","","","","","","","","","",,"preferred","HL7 Observation Reference Range Meaning Codes","","",,,,"EHDSObservation.referenceRange.type",0,1,"",""
"EHDSLaboratoryObservation.referenceRange.appliesTo","EHDSLaboratoryObservation.referenceRange.appliesTo","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Codes to indicate the target population this reference range applies to.","Codes to indicate the target population this reference range applies to. For example, a reference range may be based on the normal population or a particular sex or race. Multiple appliesTo are interpreted as an \""AND\"" of the target populations.","Multiple appliesTo are interpreted as an ""AND"" of the target populations.","","","","","","","","",,"preferred","SNOMED CT, HL7 v3-Race","","",,,,"EHDSObservation.referenceRange.appliesTo",0,*,"",""
"EHDSLaboratoryObservation.referenceRange.age","EHDSLaboratoryObservation.referenceRange.age","","","",0,1,"","","","Range {[]} {[]}
","Age range to which this reference range applies if applicable.","Age range to which this reference range applies if applicable.","","","","","","","","","",,"preferred","UCUM for units","","",,,,"EHDSObservation.referenceRange.age",0,1,"",""
"EHDSLaboratoryObservation.referenceRange.text","EHDSLaboratoryObservation.referenceRange.text","","","",0,1,"","","","string {[]} {[]}
","Text based reference range in an observation.","Text based reference range in an observation which may be used when a quantitative range is not appropriate for an observation. An example would be a reference value of \""Negative\"" or a list or table of \""normals\"".","","","","","","","","","",,,,,"",,,,"EHDSObservation.referenceRange.text",0,1,"",""
"EHDSLaboratoryObservation.interpretation","EHDSLaboratoryObservation.interpretation","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Information about reference intervals and result interpretation.","Information about reference intervals and result interpretation.","","","","","","","","","",,"preferred","SNOMED CT, HL7 ObservationInterpretation","","",,,,"EHDSObservation.interpretation",0,*,"",""
"EHDSLaboratoryObservation.note","EHDSLaboratoryObservation.note","","","",0,1,"","","","string {[]} {[]}
","Comments and narrative representation of the observation result and findings.","Comments and narrative representation of the observation result and findings.","","","","","","","","","",,,,,"",,,,"EHDSObservation.note",0,1,"",""
"EHDSLaboratoryObservation.component","EHDSLaboratoryObservation.component","","","",0,*,"","","","Base {[]} {[]}
","Component in case the observation consists of multiple sub-observations (e.g. blood pressure).","Component in case the observation consists of multiple sub-observations (e.g. blood pressure).","","","","","","","","","",,,,,"",,,,"EHDSObservation.component",0,*,"",""
"EHDSLaboratoryObservation.component.type","EHDSLaboratoryObservation.component.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Observation type. Code and name representing the type of the observation using the agreed code systems.","Observation type. Code and name representing the type of the observation using the agreed code systems.","","","","","","","","","",,"preferred","LOINC, NPU","","",,,,"EHDSObservation.component.type",1,1,"",""
