Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	21377	-	0	0	0	0	0	0	8	64	0	0	0	0	0	0	0	1	0	0	67	213	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4008	14	0	8	1	0	0	0	0	60	0	0	1	0	0	0	0	0	0	0	34	1003	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1809	10	0	30	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	31	141	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	2800	11	0	25	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	35	131	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5478	11	0	15	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	41	139	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9415	13	0	20	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	46	191	0	0	0	6	1	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3674	13	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	22	95	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3241	11	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	20	96	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5020	12	0	14	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	39	135	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8518	11	0	15	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	51	180	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3816	11	0	13	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	27	110	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4822	11	0	1	0	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	27	91	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6174	11	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	32	143	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	4549	12	0	12	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	32	77	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	28463	15	0	32	0	0	0	0	0	33	0	0	0	0	0	0	0	1	0	0	116	195	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9560	12	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	51	99	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	11402	12	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	59	129	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	11061	13	0	13	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	65	171	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6291	12	0	9	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	31	102	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6275	10	0	7	1	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	27	84	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3164	3	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	19	71	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	25918	7	0	28	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	113	294	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	19143	8	0	13	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	75	264	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	5845	4	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	30	106	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	4725	2	0	35	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	51	281	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	16557	9	0	12	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	87	224	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	3960	3	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	26	82	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	17682	5	0	7	1	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	77	210	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	4341	3	0	4	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	30	97	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	7485	3	0	7	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	39	113	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	17497	5	0	10	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	80	166	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationUse.json	5308	3	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	35	102	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	29668	8	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	136	379	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-EHDSOrganisation.json	3264	3	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	64	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	4183	3	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	24	71	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientSummary.json	33251	8	0	18	0	0	0	0	0	41	0	0	0	0	0	0	0	1	0	0	181	325	0	0	0	11	1	1
fsh-generated/resources/StructureDefinition-EHDSPregnancyHistory.json	3036	3	0	7	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	23	94	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSProcedure.json	7813	3	0	9	0	0	0	0	0	19	0	0	1	0	0	0	1	0	0	0	44	114	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-EHDSRelatedPerson.json	3810	2	0	6	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	21	46	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSServiceRequest.json	7192	3	0	9	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0	46	76	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSSpecimen.json	10825	4	0	9	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	54	85	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSTelecom.json	1855	2	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	33	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSTravelHistory.json	1746	2	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	51	0	0	0	1	0	0
/input/includes/dmn2html.xslt	6208	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/dmn.css	838	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	2611	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	2503	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseLabOrder.md	746	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/obligationsLabReport.md	1060	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSObservation-notes.md	1964	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSPatientSummary-intro.md	1322	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/howto.md	9111	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSPatientSummary-notes.md	1816	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/overview-prescription.md	3237	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/overview-dispensation.md	3664	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/knownIssues.md	128	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSDosaging-notes.md	2846	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/overview-dischargereport.md	854	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/scope.md	2070	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSObservation-intro.md	1135	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/overview-medicaltestresult.md	1549	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/downloads.md	299	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/overview-medicalimages.md	902	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/overview-patientsummary.md	1374	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	3700	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSLaboratoryObservation-notes.md	2077	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
