"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSMedicationStatement","EHDSMedicationStatement","","","",0,*,"","","","null {[]} {[]}
","Medication statement model","Statement about a single medication as part of a medication summary.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSMedicationStatement.header","EHDSMedicationStatement.header","","","",1,1,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSMedicationStatement.header.subject","EHDSMedicationStatement.header.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSMedicationStatement.header.identifier","EHDSMedicationStatement.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object","Business identifier for the object","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSMedicationStatement.header.authorship","EHDSMedicationStatement.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Resource authoring details","Resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSMedicationStatement.header.authorship.author[x]","EHDSMedicationStatement.header.authorship.author[x]","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganisation {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDevice {[]} {[]}","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",1,1,"",""
"EHDSMedicationStatement.header.authorship.datetime","EHDSMedicationStatement.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSMedicationStatement.header.lastUpdate","EHDSMedicationStatement.header.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource (may be used for technical corrections).","Date and time of the last update to the resource (may be used for technical corrections).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.lastUpdate",0,1,"",""
"EHDSMedicationStatement.header.status","EHDSMedicationStatement.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource or document","Status of the resource or document","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSMedicationStatement.header.statusReason[x]","EHDSMedicationStatement.header.statusReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the current status of the resource.","Reason for the current status of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.statusReason[x]",0,1,"",""
"EHDSMedicationStatement.header.language","EHDSMedicationStatement.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSMedicationStatement.medicationTreatmentStatus","EHDSMedicationStatement.medicationTreatmentStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The current status of the taking of medicine","The current status of the taking of medicine","","MyHealth@EU","","","","","","","",,,,,"",,,,"EHDSMedicationStatement.medicationTreatmentStatus",0,1,"",""
"EHDSMedicationStatement.medication","EHDSMedicationStatement.medication","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedication {[]} {[]}
","Describes the medicinal product.","Describes the medicinal product.","","eHN PS Guideline, ISO IPS, MyHealth@EU","","","","","","","",,,,,"",,,,"EHDSMedicationStatement.medication",1,1,"",""
"EHDSMedicationStatement.medicationReason","EHDSMedicationStatement.medicationReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Coded reason for the use of the medication (typically diagnosis, or a procedure)","Coded reason for the use of the medication (typically diagnosis, or a procedure)","","eHN PS Guideline, ISO IPS, MyHealth@EU","","","","","","","",,,,,"",,,,"EHDSMedicationStatement.medicationReason",0,*,"",""
"EHDSMedicationStatement.medicationReasonText","EHDSMedicationStatement.medicationReasonText","","","",0,1,"","","","string {[]} {[]}
","Reason for the use of the medication (typically diagnosis, or a procedure) in free text.","Reason for the use of the medication (typically diagnosis, or a procedure) in free text.","","eHN PS Guideline, ISO IPS, MyHealth@EU","","","","","","","",,,,,"",,,,"EHDSMedicationStatement.medicationReasonText",0,1,"",""
