"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSCurrentPregnancyObligations","EHDSCurrentPregnancyObligations","","","",0,*,"","","","null {[]} {[]}
","Current pregnancy obligations","Obligations for the logical model for current pregnancy.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSCurrentPregnancyObligations.header","EHDSCurrentPregnancyObligations.header","","","",1,1,"","","","Base {[]} {[]}
","Basic metadata for this information","Basic metadata for this information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSCurrentPregnancyObligations.header.subject","EHDSCurrentPregnancyObligations.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSCurrentPregnancyObligations.header.identifier","EHDSCurrentPregnancyObligations.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSCurrentPregnancyObligations.header.author[x]","EHDSCurrentPregnancyObligations.header.author[x]","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Author of this observation","Author of this observation","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSCurrentPregnancyObligations.header.date","EHDSCurrentPregnancyObligations.header.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date and optionally time of authoring/issuing","Date and optionally time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSCurrentPregnancyObligations.header.status","EHDSCurrentPregnancyObligations.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of this observation","Status of this observation","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSCurrentPregnancyObligations.header.source","EHDSCurrentPregnancyObligations.header.source","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.source",0,1,"",""
"EHDSCurrentPregnancyObligations.header.language","EHDSCurrentPregnancyObligations.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSCurrentPregnancyObligations.currentPregnancyStatus","EHDSCurrentPregnancyObligations.currentPregnancyStatus","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Pregnancy status of the patient, e.g. pregnant, not pregnant, possible pregnancy","Pregnancy status of the patient, e.g. pregnant, not pregnant, possible pregnancy","","eHN PS Guideline, ISO IPS","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSCurrentPregnancy.currentPregnancyStatus",1,1,"",""
"EHDSCurrentPregnancyObligations.dateOfStatus","EHDSCurrentPregnancyObligations.dateOfStatus","","","",0,1,"","","","dateTime {[]} {[]}
","Effective date of the current pregnancy status.","Effective date of the current pregnancy status.","","eHN PS Guideline, ISO IPS","","","","","","","",,,,,"",,,,"EHDSCurrentPregnancy.dateOfStatus",0,1,"",""
"EHDSCurrentPregnancyObligations.expectedDateOfDelivery","EHDSCurrentPregnancyObligations.expectedDateOfDelivery","","","",0,1,"","","","date {[]} {[]}
","Date in which the woman is due to give birth. Year, day and month are required.","Date in which the woman is due to give birth. Year, day and month are required.","","eHN PS Guideline, ISO IPS","","","","","","","",,,,,"",,,,"EHDSCurrentPregnancy.expectedDateOfDelivery",0,1,"",""
"EHDSCurrentPregnancyObligations.gestationalAge","EHDSCurrentPregnancyObligations.gestationalAge","","","",0,1,"","","","Quantity {[]} {[]}
","Duration of the pregnancy at this day","Gestational age - duration of the pregnancy on the day on which the patient was asked or at the delivery. The duration can be given in weeks and/or days.","","","","","","","","","",,,,,"",,,,"EHDSCurrentPregnancy.gestationalAge",0,1,"",""
"EHDSCurrentPregnancyObligations.note","EHDSCurrentPregnancyObligations.note","","","",0,1,"","","","string {[]} {[]}
","Free text notes by the health professional regarding the current pregnancy.","Free text notes by the health professional regarding the current pregnancy.","","eHN PS Guideline, ISO IPS","","","","","","","",,,,,"",,,,"EHDSCurrentPregnancy.note",0,1,"",""
