Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	30514	-	0	0	0	0	0	0	12	78	0	0	0	0	0	0	0	1	0	0	86	172	0	0	0	4	0	0
fsh-generated/resources/ActorDefinition-actor-consumer.json	199	9	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0	0	0	1
fsh-generated/resources/ActorDefinition-actor-producer.json	199	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4008	9	0	9	0	0	0	0	0	59	0	0	1	0	0	0	0	0	0	0	37	737	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1809	8	0	30	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	34	132	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	2800	7	0	25	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	31	103	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirectiveObligations.json	5225	10	0	11	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	34	113	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5478	8	0	15	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	28	82	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlertObligations.json	3860	9	0	16	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	30	93	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9415	4	0	16	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	61	92	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntoleranceObligations.json	5882	3	0	17	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	38	104	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3674	3	0	14	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	23	49	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3241	2	0	14	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	20	49	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5020	3	0	16	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	30	67	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8518	4	0	16	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	43	103	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSConditionObligations.json	5046	3	0	17	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	33	109	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3816	2	0	13	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	25	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancyObligations.json	4531	3	0	14	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	29	92	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4822	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	39	58	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6160	4	0	15	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	29	73	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceObligations.json	3837	2	0	14	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	22	87	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	4549	2	0	14	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	30	77	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUseObligations.json	3946	3	0	15	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	32	127	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	28463	7	0	32	0	0	0	0	0	40	0	0	0	0	0	0	0	1	0	0	111	224	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9474	4	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	46	92	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	10858	4	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	49	104	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSDosageObligations.json	6285	3	0	11	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	35	116	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	11061	5	0	5	0	0	0	0	0	21	0	0	1	0	0	0	0	0	0	0	59	140	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6291	3	0	4	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	27	75	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6275	2	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	24	64	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSHealthProfessionalObligations.json	6477	3	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	34	107	0	0	0	2	0	0
