"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSDosage","EHDSDosage","","","",0,*,"","","","null {[]} {[]}
","Dosage model","The model covers usage instructions for administering a medicinal product, focusing on the most frequently used data elements. More complex dosage schemes may require additional elements, which should be communicated as part of the rendered dosage instructions element.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSDosage.renderedDosageInstruction","EHDSDosage.renderedDosageInstruction","","","",0,1,"","","","string {[]} {[]}
","Full dosage information as human-readable text covering all dosage steps. Generating the text follows local rules and should include all locally implemented dosage data even when such elements are not present in this model.","Full dosage information as human-readable text covering all dosage steps. Generating the text follows local rules and should include all locally implemented dosage data even when such elements are not present in this model.","","","","","","","","","",,,,,"",,,,"EHDSDosage.renderedDosageInstruction",0,1,"",""
"EHDSDosage.dosageDetails","EHDSDosage.dosageDetails","","","",0,*,"","","","Base {[]} {[]}
","Details of single dosage scheme step","Details of single dosage scheme step","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails",0,*,"",""
"EHDSDosage.dosageDetails.sequence","EHDSDosage.dosageDetails.sequence","","","",0,1,"","","","integer {[]} {[]}
","Order of the dosage instruction, in case one treatment consists of several dosage steps. When two schemes share the same sequence number, they are meant to be running in parallel.","Order of the dosage instruction, in case one treatment consists of several dosage steps. When two schemes share the same sequence number, they are meant to be running in parallel.","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails.sequence",0,1,"",""
"EHDSDosage.dosageDetails.note","EHDSDosage.dosageDetails.note","","","",0,1,"","","","string {[]} {[]}
","Patient oriented instructions as free text for this dosage step","Patient oriented instructions as free text for this dosage step","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails.note",0,1,"",""
"EHDSDosage.dosageDetails.doseAndRate","EHDSDosage.dosageDetails.doseAndRate","","","",0,*,"","","","Base {[]} {[]}
","Amount of medication administered per one dose (= one timing)","Amount of medication administered per one dose (= one timing)","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails.doseAndRate",0,*,"",""
"EHDSDosage.dosageDetails.doseAndRate.dose[x]","EHDSDosage.dosageDetails.doseAndRate.dose[x]","","","",0,1,"","","","Quantity {[]} {[]}
Range {[]} {[]}","Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml)","Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml)","","","","","","","","","",,"preferred","UCUM (units of measurement), EDQM Standard Terms (units of presentation)","","",,,,"EHDSDosage.dosageDetails.doseAndRate.dose[x]",0,1,"",""
"EHDSDosage.dosageDetails.doseAndRate.rate[x]","EHDSDosage.dosageDetails.doseAndRate.rate[x]","","","",0,1,"","","","Quantity {[]} {[]}
Ratio {[]} {[]}","Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).","Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).","","","","","","","","","",,"preferred","UCUM (units of measurement), EDQM Standard Terms (units of presentation)","","",,,,"EHDSDosage.dosageDetails.doseAndRate.rate[x]",0,1,"",""
"EHDSDosage.dosageDetails.repeat","EHDSDosage.dosageDetails.repeat","","","",0,1,"","","","Base {[]} {[]}
","Repetition of the administration.","Repetition of the administration.","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails.repeat",0,1,"",""
"EHDSDosage.dosageDetails.repeat.bounds","EHDSDosage.dosageDetails.repeat.bounds","","","",0,1,"","","","Base {[]} {[]}
","Time bounds for the treatment (current dosage scheme). Only one of the following can exist.","Time bounds for the treatment (current dosage scheme). Only one of the following can exist.","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails.repeat.bounds",0,1,"",""
"EHDSDosage.dosageDetails.repeat.bounds.duration","EHDSDosage.dosageDetails.repeat.bounds.duration","","","",0,1,"","","","Quantity {[]} {[]}
","Number of time units, e.g 10 days","Number of time units, e.g 10 days","","","","","","","","","",,"preferred","UCUM","","",,,,"EHDSDosage.dosageDetails.repeat.bounds.duration",0,1,"",""
"EHDSDosage.dosageDetails.repeat.bounds.period","EHDSDosage.dosageDetails.repeat.bounds.period","","","",0,1,"","","","Period {[]} {[]}
","Start and end date, 05.08.2023 - 10.08.2023","Start and end date, 05.08.2023 - 10.08.2023","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails.repeat.bounds.period",0,1,"",""
"EHDSDosage.dosageDetails.repeat.duration","EHDSDosage.dosageDetails.repeat.duration","","","",0,1,"","","","Quantity {[]} {[]}
","Duration of administration (e.g '5 minutes', '1 hour')","Duration of administration (e.g '5 minutes', '1 hour')","","","","","","","","","",,"preferred","UCUM","","",,,,"EHDSDosage.dosageDetails.repeat.duration",0,1,"",""
