Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	21377	-	0	0	0	0	0	0	10	66	0	0	1	0	0	0	0	1	0	0	88	107	0	0	0	15	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4008	10	0	9	1	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	58	794	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1809	6	0	41	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	51	190	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	2800	6	0	37	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	48	145	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5478	6	0	18	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	61	136	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9415	8	0	13	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	81	188	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3674	6	0	8	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	75	108	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3241	6	0	9	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	37	98	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5020	7	0	24	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	68	127	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8518	7	0	21	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	83	203	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3816	5	0	20	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	47	90	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4822	6	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	50	148	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6174	7	0	17	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	63	161	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	4549	6	0	18	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	60	131	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	28463	12	0	61	0	0	0	0	0	34	0	0	1	0	0	0	0	0	0	0	236	362	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9560	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	97	204	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	11402	8	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	107	133	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	11061	8	0	23	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	126	110	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6291	8	0	15	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	76	65	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6275	3	0	14	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	70	58	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3164	5	0	16	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	38	52	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	25918	8	0	37	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	257	241	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	19143	7	0	23	1	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	152	132	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	5845	6	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	55	69	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	4486	6	0	39	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	86	166	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	16328	10	1	11	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	161	137	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	3960	5	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	37	55	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	17682	38	0	7	0	0	0	0	0	32	0	0	1	0	0	0	0	0	0	0	151	157	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	4341	5	0	5	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	58	100	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	7485	7	0	6	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	74	77	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	17497	8	0	15	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	157	109	0	0	0	4	1	1
fsh-generated/resources/StructureDefinition-EHDSMedicationUse.json	5308	6	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	62	70	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	29084	12	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	266	211	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-EHDSOrganisation.json	3264	6	0	2	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	34	50	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	4183	5	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	42	55	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientSummary.json	33251	14	0	24	0	0	0	0	0	62	0	0	0	0	0	0	0	1	0	0	258	279	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-EHDSPregnancyHistory.json	3036	5	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	41	99	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSProcedure.json	7813	6	0	10	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	80	140	0	0	0	2	0	0
