Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	23095	-	0	0	0	0	0	0	13	76	0	0	0	0	0	0	0	1	0	0	84	160	0	1	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4192	14	0	8	1	0	1	1	0	40	0	0	1	0	0	0	0	0	0	0	51	756	0	0	0	3	1	1
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5183	7	0	29	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	60	204	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	4142	7	0	14	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	58	164	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10789	9	0	14	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	96	208	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSAppointment.json	5175	7	0	11	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	57	101	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3912	6	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	42	89	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3856	3	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	39	102	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4218	4	0	18	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	59	125	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9596	4	0	15	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	77	171	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3904	3	0	8	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	40	84	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3652	4	0	15	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	39	109	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	6051	4	0	0	0	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	65	106	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5152	3	0	9	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	48	99	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5677	3	0	12	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	69	124	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	74009	18	0	61	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	543	676	0	0	0	22	0	1
fsh-generated/resources/StructureDefinition-EHDSDispenseDecline.json	3071	67	0	15	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	37	103	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9538	5	0	0	1	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	91	160	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2754	3	0	8	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	37	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18269	6	0	13	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	168	257	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12444	5	0	16	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	130	165	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6033	3	0	10	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	58	96	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4616	3	0	10	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	62	102	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSFamilyMemberHistory.json	3904	3	0	10	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	49	108	0	0	0	2	0	0
