"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSPatientSummaryBody","EHDSPatientSummaryBody","","","",0,*,"","","","null {[]} {[]}
","Patient Summary Body","B.1 - EHDS refined base model for Patient Summary body data elements","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSPatientSummaryBody.alerts","EHDSPatientSummaryBody.alerts","","","",1,1,"","","","Base {[]} {[]}
","B.1.1 - Alerts","Alert section includes information about allergies, intolerances and other substantial alerts or warnings that health professionals should be aware of.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.alerts",1,1,"",""
"EHDSPatientSummaryBody.alerts.allergy","EHDSPatientSummaryBody.alerts.allergy","","","",1,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAllergyIntolerance {[]} {[]}
","B.1.1.1 - Allergy","A record of allergies and intolerances.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.alerts.allergy",1,*,"",""
"EHDSPatientSummaryBody.alerts.medicalAlert","EHDSPatientSummaryBody.alerts.medicalAlert","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAlertFlag {[]} {[]}
","B.1.1.2 - Medical alert","Medical alert information (other alerts not included in allergies).","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.alerts.medicalAlert",0,*,"",""
"EHDSPatientSummaryBody.medicalHistory","EHDSPatientSummaryBody.medicalHistory","","","",1,1,"","","","Base {[]} {[]}
","B.1.2 - Medical history","Medical history","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalHistory",1,1,"",""
"EHDSPatientSummaryBody.medicalHistory.vaccination","EHDSPatientSummaryBody.medicalHistory.vaccination","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSImmunization {[]} {[]}
","B.1.2.1 - Vaccination","Vaccination / prophylaxis information","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalHistory.vaccination",0,*,"",""
"EHDSPatientSummaryBody.medicalHistory.pastProblems","EHDSPatientSummaryBody.medicalHistory.pastProblems","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition {[]} {[]}
","B.1.2.2 - Past problems","Resolved, closed or inactive problems","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalHistory.pastProblems",0,*,"",""
"EHDSPatientSummaryBody.medicalHistory.medicalHistory","EHDSPatientSummaryBody.medicalHistory.medicalHistory","","","",0,1,"","","","Base {[]} {[]}
","B.1.2.3 - Medical history","Medical history section","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalHistory.medicalHistory",0,1,"",""
"EHDSPatientSummaryBody.medicalHistory.medicalHistory.medicalHistory","EHDSPatientSummaryBody.medicalHistory.medicalHistory.medicalHistory","","","",0,*,"","","","Narrative {[]} {[]}
","B.1.2.3.1 - Medical history","This section may provide both synthetic anamnesis (e.g. description of phases of the pathology as a chronological summary of clustered clinical information) and anecdotal evidence that clinicians can collect from the patient, and can read in a narrative form.See Section 2, Chapter III, Art 7, (c).","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalHistory.medicalHistory.medicalHistory",0,*,"",""
"EHDSPatientSummaryBody.medicalProblems","EHDSPatientSummaryBody.medicalProblems","","","",1,1,"","","","Base {[]} {[]}
","B.1.3 - Medical problems","Medical problems section","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalProblems",1,1,"",""
"EHDSPatientSummaryBody.medicalProblems.currentProblems","EHDSPatientSummaryBody.medicalProblems.currentProblems","","","",1,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition {[]} {[]}
","B.1.3.1 - Current problems","Health conditions affecting the health of the patient and are important to be known for a health professional during a health encounter.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalProblems.currentProblems",1,*,"",""
"EHDSPatientSummaryBody.medicalProblems.medicalDevicesAndImplants","EHDSPatientSummaryBody.medicalProblems.medicalDevicesAndImplants","","","",1,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDeviceUse {[]} {[]}
","B.1.3.2 - Medical devices and implants","Medical devices and implants section.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalProblems.medicalDevicesAndImplants",1,*,"",""
"EHDSPatientSummaryBody.medicalProblems.procedures","EHDSPatientSummaryBody.medicalProblems.procedures","","","",1,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSProcedure {[]} {[]}
","B.1.3.3 - Procedures","Major procedures.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalProblems.procedures",1,*,"",""
"EHDSPatientSummaryBody.functionalStatus","EHDSPatientSummaryBody.functionalStatus","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSFunctionalStatus {[]} {[]}
","B.1.3.4 - Functional status","Need for the patient to be continuously assessed by third parties; functional status may influence decisions about how to plan and administer treatments.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.functionalStatus",0,1,"",""
"EHDSPatientSummaryBody.medicationSummary","EHDSPatientSummaryBody.medicationSummary","","","",1,1,"","","","Base {[]} {[]}
","B.1.4 - Medication summary","Medication summary section","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicationSummary",1,1,"",""
"EHDSPatientSummaryBody.medicationSummary.currentAndRelevantPastMedicines","EHDSPatientSummaryBody.medicationSummary.currentAndRelevantPastMedicines","","","",1,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedication {[]} {[]}
","B.1.4.1 - Current and relevant past medicines","Relevant prescribed medicines whose period of time indicated for the treatment has not yet expired whether it has been dispensed or not, or medicines that influence current health status or are relevant to a clinical decision.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicationSummary.currentAndRelevantPastMedicines",1,*,"",""
